14852524
/m/03g_4py
/m/03g_4py
Danielle Steel
1993-10
{"/m/01qxvh": "Romance novel"}
a 5
after 4
alter 1
and 5
andrew 1
are 1
attempts 1
baby 3
barbara 1
barbie 1
begins 1
both 1
brad 2
california 1
charlie 3
children 1
coleman 1
comments 1
consists 1
couple 3
diana 2
discovers 1
does 1
douglas 1
dreams 2
family 1
father 1
final 1
forced 1
from 1
goode 1
graham 1
grown 1
happy 1
have 3
having 1
he 2
her 1
his 3
honeymoon 2
house 1
however 1
in 1
is 5
large 1
latter 1
lawyer 1
make 1
marriage 1
mason 1
nineteen 1
none 1
not 2
of 5
older 1
on 2
over 1
period 1
pilar 2
pregnant 1
question 2
raise 1
repeated 1
santa 1
second 1
share 1
shares 1
she 3
should 1
sterile 1
still 1
successful 1
than 1
that 1
the 6
their 3
they 2
to 5
together 1
two 1
until 1
views 1
wedding 1
whether 1
who 1
wife 1
will 1
willingness 1
winwood 1
with 1
years 1
