657138
/m/02p2sfj
/m/02p2sfj
Patrick O'Brian
1984
1812 1
a 20
aboard 2
affair 1
after 4
agent 1
all 1
allen 1
along 1
also 3
american 3
an 6
and 15
andrew 1
announces 1
another 1
approves 1
are 4
as 4
ashore 2
at 2
atlantic 1
attack 1
aubrey 3
authorities 1
away 2
bad 1
be 3
beaten 1
been 3
before 1
being 1
between 2
black 1
blaine 1
blows 1
boat 2
book 1
brazil 1
brings 1
british 2
brought 1
brutal 1
burnt 1
but 3
by 7
cabin 1
can 1
cape 1
captain 1
captured 1
clergyman 1
colnett 1
colours 1
coma 1
commanderinchief 1
commission 1
confirm 1
considered 1
continues 1
crew 7
crisis 1
current 1
death 1
delays 1
despair 1
deteriorate 1
discover 1
discovered 1
disturbing 1
during 1
encamped 1
encounters 1
excellent 1
expedition 1
exploits 1
explorationwhaling 1
fall 1
far 1
ferocious 1
fielding 1
finally 1
fit 1
for 1
french 2
frigate 1
from 4
gap 1
gibraltar 1
groups 1
gunner 1
hanged 2
hard 1
has 3
haste 1
have 3
having 3
he 9
head 1
heard 1
hears 1
heavy 1
her 4
hermione 1
him 1
himself 1
his 8
hitting 1
hms 1
hollom 2
horizon 1
horn 1
horner 2
however 1
husband 1
if 1
illicit 1
impotent 1
in 12
indepth 1
indies 1
infidelity 1
infiltration 1
intelligence 1
intelligencechief 1
intercept 1
into 2
is 9
island 2
it 1
jack 7
james 1
jealous 1
jonah 1
joseph 1
know 1
knowledge 1
land 1
latter 1
lengthen 1
letter 1
lieutenant 1
lightningstruck 1
locate 1
london 1
lovers 1
luck 1
makes 2
malta 1
many 1
marooned 1
martin 2
master 1
maturin 2
midshipman 1
midshipmen 1
mr 3
mrs 1
mutinied 1
nearly 1
needs 1
never 1
new 1
news 1
norfolk 4
not 1
ocean 1
of 14
old 1
on 7
only 1
operated 1
operation 1
orders 1
otherwise 1
pacific 1
palmer 1
particularly 2
passed 1
persuades 1
pity 1
plans 1
point 2
possible 1
presumed 1
pretended 1
pretty 1
previously 1
prisoner 1
provisioned 1
prow 1
pursued 1
pushing 1
quickly 1
rapidly 1
reaches 1
reasons 1
reassure 1
received 1
receives 1
recovery 1
recruits 1
redhaired 1
reef 2
relations 1
reports 1
returned 1
role 1
round 1
rumours 1
sabotage 1
sail 1
sailed 1
same 2
seaman 1
seas 1
see 1
sees 1
semi 1
sends 2
setbacks 1
several 1
sexually 1
ship 3
shipwrecked 1
side 1
singing 1
sinks 1
sir 1
situation 1
so 1
some 2
someone 1
south 2
spotting 1
stephen 2
storm 1
story 1
stranded 1
strike 1
subplot 1
suffering 1
surprise 7
suspicions 1
sweet 1
tail 1
take 3
takes 1
tends 1
that 3
the 46
their 1
them 3
they 7
this 1
through 1
to 19
too 1
treason 1
two 2
typhoon 2
unaware 1
unhappy 1
untalented 1
uss 1
valletta 1
via 1
victualled 1
war 1
west 1
whaler 2
whalers 3
when 1
which 3
while 1
whilst 1
who 7
wife 2
will 2
with 5
without 1
world 1
wray 1
wrecked 1
young 1
