5292595
/m/0dc_0m
/m/0dc_0m
Ruth Rendell
1975-04-25
a 2
accident 1
across 1
all 1
an 1
and 3
angela 1
becoming 1
been 1
before 2
but 2
by 1
could 1
crimes 1
cynical 1
deadchief 1
death 2
descended 1
discover 1
doubt 1
ever 1
had 6
hathall 2
have 1
he 3
heavily 1
her 2
his 1
ingenious 1
inspector 1
intuitive 1
killed 1
made 1
many 1
meaning 1
most 2
motive 1
mrs 1
never 1
no 4
none 1
of 1
one 1
or 1
own 1
people 1
picked 1
plodded 1
probably 2
reading 1
really 1
reason 1
room 1
said 1
screamed 1
seen 2
she 4
simply 1
son 1
sound 1
stairs 1
stranger 2
such 1
suspect 1
suspicions 1
tackled 1
that 1
the 3
there 2
this 1
times 1
to 1
untrusting 1
up 1
violence 1
waited 1
was 4
were 1
wexford 2
where 2
why 1
wife 1
would 1
your 1
