1649691
/m/05klt_
/m/05klt_
Gregory Maguire
2005
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0fr3y1": "Parallel novel"}
a 30
about 5
absorb 1
access 1
accompanies 1
accompaniment 1
accompany 1
accuse 1
acting 1
adopt 1
afraid 2
after 7
against 2
ago 1
agrees 1
aid 1
allows 1
alone 1
although 2
ambassador 1
an 6
and 60
animals 2
antianimal 1
any 1
apostle 2
apothecaire 2
appearance 1
apple 5
appoint 1
appointed 1
are 6
around 1
arranging 1
arrival 1
arrives 1
arriving 1
as 10
asks 2
at 5
attack 1
attacked 3
attacking 1
attempt 1
attended 1
authorities 1
authority 1
availed 1
away 2
baby 2
back 4
badly 2
be 2
because 5
become 4
becomes 2
been 3
before 2
being 1
believes 1
bengda 1
besiege 1
between 2
birds 7
birth 1
black 1
blood 1
body 2
bon 1
book 2
bornagain 1
boy 2
brings 2
broom 5
brother 1
bruised 1
bucket 1
burn 1
burned 1
but 7
by 14
called 1
can 1
candle 13
cannot 2
carcasses 1
care 1
case 1
cavalish 1
charm 1
cherrystone 4
chief 1
children 1
chistery 4
chronological 1
chronologically 1
chyde 2
city 11
cleans 1
cloak 2
cloister 5
clothes 1
collecting 1
comalike 1
come 4
comes 2
comforting 1
commander 4
companies 1
complex 1
concerned 1
conference 7
connections 1
convinced 1
convinces 1
correct 1
country 1
cowardly 1
creatures 1
critical 1
current 1
dangerous 1
daughter 1
dawns 1
dead 2
death 4
decade 1
decides 2
deferential 1
defied 1
departure 1
deployed 1
deserted 1
deserts 1
desperate 1
desperation 1
destroy 2
did 1
dies 3
disappearance 1
discovers 1
disguised 1
disgust 1
display 1
displayed 1
divide 1
do 1
doctor 2
does 1
doing 1
domingon 2
door 1
dorothy 1
dragon 2
dragons 9
drowned 1
due 1
during 1
dying 2
each 1
earlier 1
earth 1
efforts 1
elderly 1
elephant 3
elphaba 12
emerald 8
emperor 4
enable 1
enabled 1
enables 1
encounter 2
end 2
ends 1
enlist 1
ensure 1
enter 1
escape 1
escaped 1
eventually 1
evident 1
example 1
exorbitant 1
explains 1
explanation 1
extract 1
eye 1
face 1
faces 2
facial 1
falls 1
family 2
farm 6
farmhouse 1
fate 2
father 1
fearing 1
features 1
feels 1
female 1
find 3
finds 2
fine 1
first 3
fiyero 1
flee 2
flies 1
flight 1
flock 1
flower 1
fly 3
flying 4
food 1
for 9
force 1
forces 1
form 3
formation 1
found 1
from 4
fulfill 1
fully 1
gale 1
general 1
geological 1
get 3
girl 1
glinda 6
go 3
goes 1
going 2
gone 2
graffiti 1
grasstrail 1
green 1
groups 1
guard 4
guiding 1
guitarlike 1
had 6
handwriting 1
happen 1
has 7
have 2
having 3
he 22
head 1
help 3
her 17
herself 1
hiding 1
him 15
himself 1
his 10
hogs 1
holding 1
home 5
horned 1
how 1
however 3
huddled 1
huge 2
human 3
hung 1
husbandry 1
idea 1
identifies 1
if 1
immediately 1
imperatively 1
in 35
including 2
individuals 1
informs 3
inhabitants 1
initially 1
injecting 1
injured 1
insists 3
instrument 1
interest 1
into 5
investigate 1
involve 1
involved 1
involves 1
is 27
it 3
jackal 1
keen 1
keeping 1
kiamo 2
kidnapped 1
kidnapping 1
killed 1
