21097608
/m/05c42wv
/m/05c42wv
Kitty Barne
1940
{"/m/098tmk": "War novel", "/m/0dwly": "Children's literature"}
13 1
a 1
and 2
are 2
arrive 1
at 1
aunt 1
away 1
been 2
but 1
children 1
cockney 1
coming 1
countryside 1
depth 1
during 1
eccentric 1
empty 1
evacuees 2
everything 1
far 1
farmhouse 1
farrar 1
farrars 2
find 1
finding 1
four 1
generally 1
has 1
have 1
help 1
holidays 2
impinge 1
is 2
lives 1
london 1
myra 1
nearby 1
never 1
of 3
on 1
organizing 1
out 2
preparations 1
seems 1
setting 1
seventeen 1
soon 1
spending 1
staff 1
standing 1
stay 1
steadings 1
summer 1
sussex 1
the 9
their 3
themselves 1
then 1
to 2
war 1
which 1
who 1
with 2
young 1
