3535672
/m/09k1l5
/m/09k1l5
Dan Cragg
2004
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 1
advised 1
against 1
alien 1
amnesiac 1
among 1
an 3
and 4
been 1
by 2
captured 1
certain 1
confederation 1
continues 1
detomas 2
dictator 1
dominic 1
driven 1
engendered 1
expect 1
fascist 1
festers 1
formerly 1
from 1
fury 1
germany 1
government 1
had 1
has 1
head 1
implacably 1
inhabitants 1
into 1
is 2
kingdom 5
later 1
led 1
marine 1
might 1
mildmannered 1
nazi 1
new 1
not 1
novel 2
now 1
of 5
off 1
on 1
parts 1
planet 1
police 2
policies 1
populace 1
previous 1
put 1
released 1
resembles 1
resentment 1
secret 1
situation 1
skinks 2
state 1
strongly 1
succeed 1
that 2
the 9
this 2
to 1
together 1
uprising 2
violent 1
were 1
when 1
while 1
who 1
