12119085
/m/02vqdwv
/m/02vqdwv
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
50000 1
a 10
about 1
act 1
after 1
agrees 1
all 1
already 1
also 1
an 1
and 16
another 1
apartment 6
archie 9
are 1
arrangements 1
arrest 1
as 3
asks 1
assistance 1
assumes 1
available 2
avery 1
back 1
bait 1
ballou 4
barry 2
because 2
been 2
behavior 1
belongings 2
bills 1
blackmail 1
body 2
bring 1
brownstone 1
but 5
by 3
cash 1
claw 1
coerces 1
company 1
concern 1
concludes 1
consider 1
convoluted 1
cooperation 1
corrals 1
cynicism 1
dances 1
deduces 1
demanding 1
demonstrate 1
determine 1
disclosure 1
discovers 1
displays 1
does 1
doxy 1
engaged 1
enter 1
exshowgirl 1
face 1
finally 1
find 2
finds 1
first 1
fleming 1
flights 1
for 6
force 1
frantic 1
fred 1
friend 1
gentleman 1
get 2
given 1
going 1
guilty 1
hand 1
hardy 1
has 5
he 5
helps 1
her 6
herself 1
him 1
himself 1
his 5
human 1
husband 1
identity 1
in 3
innocent 1
international 1
into 3
is 9
isabel 12
it 2
jaquette 3
jill 3
julie 3
just 1
keep 1
keeping 1
keeps 1
kerr 1
killed 1
knew 1
knot 1
later 1
learns 1
lid 1
living 1
longer 1
marriage 2
marry 1
meet 1
meeting 1
milton 1
miss 1
months 1
moved 1
murder 1
murderer 2
must 1
named 2
names 1
nature 1
nearly 1
news 1
nightclub 1
no 1
not 1
objects 1
occupies 1
of 4
offers 1
office 1
on 3
or 1
orchids 1
orrie 11
otherwise 1
out 1
own 1
paid 1
pays 1
performance 1
performs 1
personal 1
plans 1
plush 1
police 1
possessions 2
professional 1
protection 1
puts 1
quash 1
rather 1
really 1
reasoning 1
refers 1
regarding 1
regards 1
relationship 1
reluctant 1
reputation 1
saul 2
see 1
sends 1
she 8
show 1
similar 1
singer 1
singing 1
sister 2
so 1
some 4
someone 1
stashed 1
stella 5
stewardess 1
subjected 1
such 1
suspicion 1
taken 1
thales 4
that 8
the 11
them 3
then 1
thinks 1
threatening 1
threatens 1
three 1
thus 1
tie 1
time 2
times 1
to 18
tries 1
true 1
turns 1
two 1
undertakes 1
unsure 1
via 1
visits 2
week 1
when 3
where 1
whether 1
who 3
with 3
withdraws 1
wolfe 11
works 1
