843
/m/0k36
/m/0k36
Anthony Burgess
1962
{"/m/06n90": "Science Fiction", "/m/0l67h": "Novella", "/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction", "/m/06nbt": "Satire", "/m/02xlf": "Fiction"}
a 42
abases 1
about 1
accidentally 1
accuses 1
actually 1
administers 1
advisor 1
after 3
ago 1
agrees 2
alex 40
alexander 6
all 1
along 1
also 1
ambitious 1
an 7
and 28
anglorussian 1
anxious 1
apparent 1
are 3
aroused 1
arrive 1
as 13
assault 2
assaulted 1
associates 1
at 6
attack 1
attacks 1
attempt 2
aversion 1
back 2
bad 1
bar 2
barrage 1
be 1
beat 1
beating 2
beats 1
because 1
become 1
been 1
beethoven 1
before 4
beginning 1
begins 2
behaviour 1
behaviourmodification 1
being 3
beloved 1
bible 1
billyboy 1
blame 1
blocked 1
bloodied 2
book 1
bouts 1
break 1
breakin 1
bruiser 1
brutality 1
bully 1
burgle 1
but 1
by 5
called 3
car 1
cellmate 1
cellmates 1
challenges 1
chance 1
chapel 1
chaplain 2
chapter 1
characterized 1
classical 3
clockwork 1
cocktails 1
collapses 2
come 1
commit 1
conditioning 3
confession 1
consequence 1
contemplates 1
contemptuously 1
continue 1
cottage 2
counter 1
countryside 1
couple 1
courted 1
created 1
crippling 1
critic 1
crude 1
cured 1
day 1
daydreams 1
dazed 1
death 1
decided 1
delinquent 2
deltoid 1
demanding 1
demonstrated 1
derelict 1
despite 1
died 1
dim 5
does 1
door 1
down 1
dreary 1
drinking 1
droogs 6
drugs 1
during 4
earlier 1
effectiveness 1
elderly 1
encounter 1
encounters 1
ends 1
england 1
enters 1
escape 1
even 1
evening 1
eventually 2
experimental 1
extract 1
f 2
faith 1
family 1
fantasizing 1
farce 1
fatalistically 1
favorite 1
feel 1
fellow 1
fifth 1
fighting 1
films 1
filmsbeethoven 1
final 1
finds 2
first 1
flat 2
flatblock 1
following 2
fond 1
for 9
form 1
former 2
fragrant 1
free 1
friends 2
from 7
front 1
future 1
gang 7
gangrape 1
generosity 1
georgie 4
gets 1
girls 1
government 5
graphically 1
group 1
half 1
hand 1
hangout 1
happenings 1
hard 1
hardened 1
has 4
he 13
help 1
her 2
high 1
him 9
himself 1
his 19
home 5
hopes 2
horrid 1
hospital 1
house 1
husband 3
hymns 1
hype 1
i 1
idea 1
if 1
in 17
incapacitated 1
inclinations 1
incumbent 1
indulge 1
inflicted 1
injection 1
injuries 1
insists 1
inspires 1
institution 1
intelligent 1
into 2
invaded 1
is 15
isolated 2
it 2
job 3
joyriding 1
juvenile 1
keen 1
kills 1
korova 1
late 1
leadership 1
leads 1
leaping 1
learn 1
leaving 2
library 2
likelihood 1
listen 1
living 3
locks 1
lodger 1
lovely 1
ludovico 2
ludwig 1
main 1
makes 1
manages 1
mansized 1
manuscript 2
married 1
masks 1
maul 1
mayhem 1
meets 1
memories 1
memory 1
mental 1
mere 1
metafictional 1
milk 1
milkbar 1
milkdrug 1
milkplus 1
mistakes 1
mood 1
more 1
mostly 1
mrs 1
murder 1
muscle 1
music 5
mutinous 1
nadsat 1
name 1
nausea 1
near 1
nearfuture 1
new 1
next 1
night 2
nightly 1
none 1
not 1
novel 3
now 2
of 30
off 1
offered 1
officials 2
old 2
on 8
one 2
opportunistic 1
or 1
orange 1
orgiastic 2
orgies 1
other 1
out 2
outgrow 1
outside 1
own 1
owner 1
packed 1
painless 1
pair 1
panhandling 1
paragraph 1
parents 2
particularly 1
passages 1
pathos 1
persists 1
pete 2
photographers 1
pictures 1
playing 1
plays 2
pleased 1
police 1
policemen 2
postcorrective 1
pr 1
predatory 1
presence 1
prevent 1
prison 3
prompting 1
prospect 1
public 2
publicity 1
pull 1
punishes 1
quells 1
questions 1
quickwitted 1
radical 1
random 1
rapes 1
raping 1
reading 1
reads 1
realize 1
realizes 1
realizing 1
rebellion 1
receives 1
recognize 1
reelected 1
released 1
relentless 1
religious 1
removing 1
renting 1
rescue 1
results 1
revealed 2
revenge 1
reversed 1
right 1
rival 2
rob 1
role 1
room 1
safely 1
scantilyclad 1
scene 1
scholar 2
school 1
scripture 1
scuffle 1
secondincommand 1
seek 1
sentenced 1
sequence 1
services 1
settled 1
sexual 1
shelters 1
show 1
shredding 1
sick 1
side 1
since 1
singing 1
sitting 1
skips 1
slang 1
slashing 1
slowwitted 1
snap 1
society 1
sociopath 1
some 1
son 1
sophisticated 1
soundtrack 1
starts 1
state 2
states 1
step 1
stereo 1
stirrings 1
stolen 1
stomp 1
store 1
story 1
strains 1
streets 1
stripping 1
studies 1
subjected 1
suffer 1
suicide 3
symbol 1
symphonyrenders 1
take 1
takes 2
taste 3
technique 3
teenager 1
tenyearold 1
than 1
that 6
the 69
their 2
them 3
theme 1
themselves 1
then 5
therapy 1
there 2
thereby 1
they 3
this 1
though 1
thought 1
through 2
to 28
too 1
top 1
touch 1
town 1
tragic 1
treatment 1
trio 1
troublesome 1
turn 1
two 2
ultraviolence 2
unable 1
unconscious 1
undergo 1
unexpected 1
unintended 1
up 2
use 1
van 1
views 1
violence 4
violent 2
vips 1
visit 1
volume 1
wakes 1
walking 1
walloping 1
wanders 1
was 2
watch 1
watching 1
way 1
wealthy 1
well 1
wellpaying 1
where 5
which 1
while 2
who 6
whose 2
wife 3
will 1
window 1
wing 1
with 9
within 1
woman 3
wore 1
working 1
writer 3
years 1
young 2
