21164857
/m/05c41d1
/m/05c41d1
Darren Shan

a 3
african 1
al 3
american 1
an 2
and 2
as 8
asked 1
be 1
became 1
begins 1
behind 1
best 1
bill 1
brutally 1
by 1
cardinal 1
case 1
casey 1
city 1
drifted 1
extremely 1
fishing 1
friend 1
girlfriend 1
going 1
guards 1
he 6
him 1
his 4
hornyak 1
hotel 1
in 1
into 1
investigate 1
investigations 1
involved 1
jeery 1
known 1
latter 1
learnt 1
madness 1
man 1
motivated 1
murder 2
nicola 1
occurred 1
of 3
on 1
past 1
personal 1
powerful 1
proceed 1
returned 2
serving 1
skylight 1
slowly 1
soldier 2
soon 3
story 1
summoned 1
that 2
the 11
to 4
treated 1
trip 1
troops 1
truth 1
uncovered 1
under 1
victim 1
was 3
weird 1
went 1
who 1
with 3
work 1
world 1
