4639312
/m/0cdzh8
/m/0cdzh8
Anthony Horowitz

20 1
a 37
abandoned 1
about 7
accidentally 1
according 1
achieved 1
acid 1
advises 1
after 3
again 4
ago 1
all 5
alone 1
also 3
always 1
an 7
and 59
animated 1
another 2
antagonist 1
appears 1
are 12
arrive 1
arrives 1
articles 1
as 8
ashwood 3
asking 1
at 8
attacked 2
attempt 1
aunt 2
author 1
away 7
back 5
barn 1
be 1
because 5
bedroom 1
been 3
before 2
begins 2
being 1
believe 2
believes 1
bike 1
black 2
blood 2
body 1
bog 1
book 2
bought 1
box 1
boy 1
break 2
breaks 1
building 2
built 4
burgess 4
but 14
by 15
cage 1
call 1
called 2
can 1
car 2
carrying 1
caught 1
causing 1
ceremony 1
chapter 1
charm 1
chased 1
children 3
chisel 1
choice 1
circle 2
circles 1
citizens 1
city 1
clairvoyant 1
climbs 1
cole 4
come 1
comes 1
coming 2
complete 1
contact 1
copy 1
couldnt 1
countryside 1
covered 1
crash 1
creatures 2
creevy 1
critical 1
crushed 1
crushes 1
cut 1
dark 1
daughter 1
davis 1
day 2
death 1
deaths 1
defeated 1
defeats 1
demands 1
descendants 1
designed 1
destiny 1
detailing 1
deverill 12
die 1
died 2
dies 2
dimension 2
dinosaur 1
dinosaurs 2
diplodocus 1
disappears 1
discovers 1
doesnt 4
dogs 2
down 2
dozens 1
dravid 8
drop 1
education 1
eight 1
electronic 1
elizabeth 3
ends 2
engineer 1
enters 1
equipment 1
errand 1
escape 6
even 1
ever 1
evil 2
except 1
explains 2
explode 1
explodes 1
explores 1
fabian 1
falls 2
far 1
farm 1
farmhand 1
fast 1
fell 1
filled 1
find 3
finds 8
fire 3
first 1
five 3
floorboards 1
focuses 1
followed 1
for 4
forcefully 1
forest 1
foster 1
fostering 1
found 1
fourteen 1
freeman 1
frees 1
friend 1
from 10
gasoline 1
gate 13
gatekeeper 1
gatekeepers 1
gazette 3
get 7
getting 1
girder 1
gives 1
go 6
goes 3
going 3
gone 1
greater 1
green 1
group 1
gruesome 1
gwenda 1
had 1
hadnt 1
hall 3
handkerchief 1
has 5
have 2
he 35
head 1
hears 1
heat 2
held 1
help 1
her 2
him 12
himself 2
his 22
history 1
hive 3
hold 1
hole 1
hounds 1
house 4
how 1
human 1
husband 1
impossible 1
in 24
information 1
inhabitants 2
inherited 1
inner 2
inside 1
instantmail 1
internet 1
intersection 1
into 9
introduces 1
involved 1
involves 1
ipswich 1
is 28
it 11
jayne 1
johnson 1
journalist 1
jumping 1
kalvin 1
kelvin 1
kensington 1
keys 2
kill 4
killing 1
kills 1
king 1
knife 4
knocks 1
know 1
known 2
knows 1
late 1
later 1
leaf 1
leave 1
leaves 1
leaving 1
left 1
lesser 7
levels 2
liberty 1
librarian 1
library 1
life 1
light 2
lights 2
like 1
lives 3
living 2
london 1
lower 1
made 1
magic 2
magical 1
makeshift 1
malling 8
man 5
many 1
marsh 7
mass 1
materials 1
matt 45
meet 3
meets 2
member 1
men 1
meyer 1
michael 7
misery 1
miss 1
missing 1
moment 1
money 1
most 1
mrs 10
much 1
murdered 1
museum 3
name 1
named 3
natural 1
near 1
nearby 1
neck 1
needs 1
next 1
nexus 3
night 2
no 1
noah 3
nothing 2
noticed 1
now 1
nuclear 3
odd 1
oddly 1
of 28
office 2
officers 1
old 10
omega 7
on 18
once 3
one 9
ones 7
open 2
opening 1
or 1
ordeal 1
organization 1
out 10
outside 1
over 1
overloads 1
painted 3
panic 1
parent 1
parents 2
part 3
peru 1
place 1
plant 1
police 3
pool 1
popup 1
portal 2
possible 1
power 8
powerful 1
powers 4
prevents 1
professor 3
project 1
protective 2
quickly 1
radiation 1
radioactive 1
raven 10
realises 2
realizes 1
recaptured 2
receives 1
recovers 1
remembers 1
removes 1
report 1
rescues 1
return 1
returns 1
revealed 1
reveals 1
rib 1
richard 18
ride 1
ripped 1
ritual 1
river 1
road 1
roodmas 1
room 2
rug 1
rule 1
run 1
runs 2
sacrifice 1
same 1
sanctum 2
sanjay 2
saw 2
says 2
scene 1
scientist 1
sealed 1
searches 1
second 1
sections 1
see 1
seek 1
sees 1
sending 1
sent 1
separate 1
setting 1
she 4
sheep 1
shoves 1
shows 1
sickle 1
since 1
sink 1
sir 7
skeleton 1
skeletons 1
slowly 1
so 1
some 2
someone 2
something 2
south 1
stab 1
stabs 1
star 1
started 1
station 7
stealing 1
stood 1
stop 1
stops 1
story 3
strange 3
stuffed 1
sucked 1
summons 1
supernatural 1
surprisingly 1
survived 2
susan 1
suspects 1
take 2
taken 2
takes 1
taking 1
talk 2
talks 1
tells 8
temptations 1
tend 1
that 13
the 98
their 2
them 8
then 12
there 6
they 11
this 1
though 1
through 3
throws 1
tiny 1
to 58
tom 4
too 1
towards 1
traitor 1
transported 1
trapped 2
travel 1
trees 1
tries 3
troubled 1
trying 1
turn 1
turns 1
under 1
underground 1
up 3
uranium 1
used 2
using 1
village 1
villagers 3
visit 3
visits 1
waiting 1
wakes 2
walks 1
wall 2
want 2
wanted 1
warehouse 1
warlocks 1
warning 1
warns 1
was 4
way 1
were 3
what 1
when 7
where 4
which 3
while 5
whispers 1
who 14
will 2
window 1
witchcraft 2
witches 3
with 19
woman 2
woods 2
words 2
working 2
works 1
world 1
written 1
year 1
years 3
york 2
yorkshire 1
young 1
