11011533
/m/02qy0_1
/m/02qy0_1
Bernard Cornwell
1984-01
{"/m/0hwxm": "Historical novel"}
113th 1
1812 1
60th 1
a 19
adrados 3
against 1
agree 1
aka 1
all 3
almost 1
american 1
an 1
and 18
antagonist 1
anticipating 1
appears 1
are 3
armies 1
arrive 1
as 4
assist 1
at 2
attack 2
augustus 1
battalion 1
battalions 1
be 2
believes 1
best 1
blackmails 1
border 1
both 1
british 1
building 1
buildings 1
but 2
by 6
capture 3
careful 1
castle 1
cavalry 1
certainly 1
christmas 1
clue 1
colonel 5
come 1
commander 1
commanding 1
companies 1
company 2
convent 6
cook 1
decides 1
defends 1
defensible 2
deliver 2
demanded 1
demands 1
deron 1
descends 1
desert 1
deserters 5
destroy 1
discovers 1
dubreton 5
during 1
each 1
enemies 1
englishborn 1
escapes 1
eve 1
executed 1
extremely 1
fact 1
falls 1
farthingdale 3
fetch 1
fight 1
firing 1
for 4
free 2
french 5
from 1
fusilier 1
generally 1
gives 1
group 1
hakeswill 5
hamlet 1
hands 1
harper 2
havoc 1
he 1
him 1
himself 1
his 4
hours 1
in 7
including 1
inebriated 1
ingeniously 1
into 1
is 8
isolated 1
it 1
josefina 1
just 1
kept 1
kills 1
kinney 1
know 1
lacosta 1
ladies 2
lady 2
last 2
leaving 1
led 1
let 1
light 1
lord 1
madame 3
major 1
make 1
making 1
man 1
marshal 1
meet 1
men 1
mining 1
mission 1
more 1
moreno 1
moves 1
multiple 1
nairn 1
new 1
not 2
note 1
number 1
obadiah 1
occupy 1
of 15
officer 1
on 6
option 1
order 1
other 1
partisan 1
patrick 1
peninsular 1
picked 1
pilgrimage 1
portugal 1
portuguese 1
potaufeu 1
prisoner 1
promoted 1
propose 1
proposed 1
rank 1
ransom 3
reaching 1
recently 1
regardless 1
regiment 1
reinforcements 1
release 2
rescue 1
rescuing 1
returns 1
rides 1
rifles 1
rockets 1
safe 1
see 1
seize 1
sent 1
sergeant 2
setting 1
sharpe 11
she 1
shot 1
similar 1
sir 1
soult 1
south 1
spanish 2
spanishportuguese 1
squad 1
stand 1
supervise 1
surrender 1
taken 1
teresa 2
thank 1
that 6
the 44
their 1
then 2
they 5
thinks 1
thus 1
time 1
tiring 1
to 18
trap 1
travelling 1
tries 1
two 1
unfortunately 1
up 1
upon 1
using 1
village 4
wait 1
war 1
was 1
watchtower 2
way 1
when 1
who 5
wife 3
will 3
winter 1
with 4
women 2
year 1
you 1
