23828507
/m/02qwy3v
/m/02qwy3v
Louise Rennison
2000-06-29
a 8
about 2
ace 1
across 1
admits 1
after 1
again 1
an 1
and 7
angus 1
announces 1
any 1
appointment 1
are 1
as 2
asks 1
awful 1
back 1
be 1
becomes 1
begins 1
belonging 1
best 1
boy 1
boyfriend 1
breaks 1
but 2
can 1
cannot 2
cant 1
cat 2
come 1
crush 1
dad 1
dating 1
dave 3
decides 1
doctor 1
doctors 1
does 1
dreams 1
ellen 1
end 1
excuse 1
extremely 1
family 1
feels 3
few 1
finding 1
for 6
friend 1
gang 1
gee 1
georgia 11
girlfriend 1
god 1
gone 2
got 1
guilty 1
has 5
he 3
her 10
herring 1
him 5
his 1
ill 1
in 4
interested 1
is 3
it 1
jealous 1
jennings 1
just 1
landed 1
laugh 2
learns 1
leave 3
leaves 1
libby 1
likes 1
longtime 1
make 2
mates 1
misses 1
month 1
months 1
mother 2
mum 1
named 1
naomi 1
neighbors 1
new 5
not 1
novel 1
of 3
off 1
one 1
out 1
pedigree 1
possibly 1
previous 1
rather 1
really 1
red 1
return 1
road 1
robbie 4
says 1
seen 1
sex 1
she 7
started 1
stop 1
subplot 1
takes 1
that 2
the 9
they 1
thinking 1
to 8
tofor 1
too 1
until 1
up 1
use 1
using 1
when 1
while 2
with 2
young 1
zealand 3
