15916434
/m/03qg904
/m/03qg904
Steven L. Kent
2006-09-28
{"/m/06n90": "Science Fiction"}
1000 1
11000 1
13 1
15 2
2 1
20 1
2000 1
2300 1
240 1
25 1
280 1
3 1
300 1
40 1
45 1
5 1
51 1
553 1
a 61
able 3
aboard 1
about 1
abusing 1
accept 1
access 1
accurate 2
across 1
activate 1
actually 1
adam 3
addicted 1
admiral 3
after 4
against 1
age 1
air 2
all 9
allowing 1
almost 1
also 6
ambidextrious 1
ambush 1
among 1
an 9
and 61
another 1
any 4
anymore 1
anyone 1
anything 1
application 1
approximately 3
are 20
armed 1
armor 3
armored 2
armory 1
armour 1
armoured 1
army 1
around 4
array 1
as 24
assassinations 1
assault 2
assignments 1
at 6
atkins 2
atmospheric 1
attacked 1
attacking 1
attempting 1
authority 2
average 1
avid 1
avoid 1
back 3
bad 1
bald 1
band 1
banned 1
basis 1
battle 2
batwinged 1
bays 2
be 18
beam 4
bear 1
because 5
become 1
been 7
before 4
being 6
believed 1
best 1
besting 1
bests 1
better 1
between 1
bid 1
big 1
biggest 1
black 2
blacking 1
blood 1
bodies 1
body 1
bodybuilder 1
bombarding 1
book 4
books 1
born 1
both 2
boyd 3
branding 1
bred 3
bridge 2
broadcast 1
broadcasting 3
brute 1
bryce 1
bubblehead 2
bubbleheads 1
buildings 1
built 1
bulletproof 1
burn 1
but 11
butchers 1
butt 1
by 16
bypassed 1
cabin 1
called 2
calls 2
came 1
camera 1
can 9
cannons 1
canvas 1
capable 2
captain 1
carrier 3
carrierit 1
carriers 1
carry 3
carrying 1
catchall 1
causes 1
causing 2
cave 1
central 1
charisma 1
che 2
chose 1
civilian 3
class 6
classes 1
clawed 1
clone 8
clones 21
cloning 1
collectively 1
color 1
combat 3
command 5
commander 1
commanding 3
communicate 1
compared 1
comparison 1
complement 1
components 1
confirm 1
considerably 1
considered 1
consisting 1
contaminated 1
continually 3
contrast 1
control 1
cost 1
costs 1
could 2
countless 3
coveralls 1
created 1
crowley 1
culture 1
currently 2
cut 2
damage 1
date 1
deadly 1
dealt 1
death 4
debatable 1
debris 1
decks 1
decorated 1
demonstrated 1
depicted 1
deploys 1
described 5
desert 1
deserters 1
designed 3
despite 1
destinations 1
destroyed 1
detachable 1
devastating 1
die 1
difficulty 1
disabled 1
discipline 1
discovered 1
discs 2
disrespectful 1
distances 1
doctrinaire 4
does 1
doesnt 1
doubts 1
drinking 1
dropship 1
dualcold 1
due 2
during 2
duty 2
each 1
earth 1
easily 4
easy 1
effect 2
effective 1
effortlessly 1
either 1
elaborate 1
electrical 1
else 1
emailinternet 1
enabled 1
end 1
ended 1
ends 1
enemies 1
enemy 1
engineered 1
engines 1
enough 3
entry 1
equals 1
equipment 3
error 1
essentially 2
establish 1
establishment 1
ever 2
every 1
everything 1
exgeneral 1
exist 1
expansionclass 4
expectations 1
expendable 1
experience 1
experienced 1
explains 1
extremely 1
extremes 1
eye 2
ezer 3
face 1
facility 1
fairly 1
far 1
fast 2
faster 1
fatal 1
feet 2
few 2
fight 4
fighter 5
fighters 2
fighting 3
find 1
finding 1
fine 1
fingers 1
first 1
fixed 1
flagship 3
flee 1
fleet 7
fling 2
flush 1
foes 1
follow 1
following 1
fool 1
footage 1
for 9
form 1
forwardfacing 1
fought 2
found 1
freelancer 1
freeman 5
frequently 1
friends 1
from 10
fuel 2
fun 1
fusion 1
galactic 4
galaxy 2
gaunt 1
gaylan 1
gef 1
gene 1
generally 3
get 3
gets 3
getting 1
give 2
given 3
gland 2
glued 1
go 1
gobi 4
goes 1
got 1
government 1
gravity 1
grenade 4
group 1
grudging 1
gruff 1
guards 1
guerrilla 1
gunships 1
had 4
hair 1
hand 1
handed 1
hangar 1
harris 20
has 27
hates 1
have 8
having 3
hawaii 1
hawaiian 1
he 34
headset 1
heat 1
heavily 2
helix 1
helmet 4
helmets 1
high 1
higher 1
highest 1
him 6
his 17
history 2
home 1
honolulu 1
hormone 1
hotel 1
housing 1
huang 4
hubble 1
hull 1
human 2
humorless 1
hundred 2
identified 1
idle 1
if 5
ignite 1
impression 1
in 36
including 1
incredibly 1
indeed 1
influential 1
informal 1
initially 1
install 1
instantly 2
insufficient 1
intel 1
intensity 1
intercourse 1
interlink 1
internal 2
interrogation 1
intimate 1
intimidating 1
into 4
is 49
isnt 1
issue 1
it 23
its 5
itself 1
jammed 1
japanese 1
jennifer 2
