840200
/m/03f_14
/m/03f_14
Robin Hobb
1995
a 25
abdicates 1
abdication 1
able 2
after 2
afterward 1
afterwards 1
agrees 2
all 1
allowing 1
allows 2
almost 1
also 1
although 1
an 6
ancient 1
and 32
animal 1
animals 2
another 2
apparent 1
are 2
area 1
arms 1
army 1
arrival 1
arrives 1
as 15
asked 1
assassin 3
assassinate 2
assassinated 1
assassinating 1
associated 1
at 6
attacked 2
attacks 1
attempt 1
attempts 1
away 3
back 1
badly 1
base 1
basic 1
bastard 5
be 4
become 3
becomes 1
before 1
beginning 1
begins 1
being 3
believes 1
believing 1
best 1
betrothed 1
blood 1
bond 4
bonds 1
book 4
borders 1
bound 1
boy 1
breaking 1
brings 1
brother 1
buckkeep 4
burden 1
burrich 9
but 3
by 13
called 1
can 2
cannot 1
care 2
caring 1
castle 2
chade 2
cherish 1
childhood 1
children 1
chivalry 10
class 1
classes 2
close 1
coastal 1
combat 1
comes 2
command 1
companionship 1
complete 1
compromised 1
contact 2
cost 1
countryside 1
covers 1
curiously 1
currently 1
dead 1
death 2
deep 2
desire 1
desperately 1
despises 2
destroy 1
develops 1
dies 1
discovers 1
disgust 1
distrusted 1
does 1
dog 5
door 1
drunk 1
duchies 3
during 5
duties 2
easy 1
encounters 1
end 1
event 2
eventually 3
eyod 1
false 1
farseer 1
farseers 1
fast 1
father 5
fearful 1
feels 1
finds 3
finish 1
first 2
fit 1
fitz 35
fitzchivalry 2
for 4
forge 2
forged 2
former 1
freely 1
friend 1
friends 1
from 6
galen 7
gave 2
get 1
gift 1
girl 1
given 3
go 1
good 1
grandfather 1
great 1
growing 1
had 1
halfbrother 1
hand 3
has 3
have 1
he 28
healed 1
heir 1
help 2
hence 1
here 1
him 10
himself 1
his 24
hod 1
holdings 1
horse 1
hostages 3
how 1
however 3
humanity 1
if 1
imprinted 1
in 16
infested 1
into 3
introduced 1
is 38
it 3
its 2
jonqui 1
just 1
keep 1
kettricken 2
kill 1
killed 4
killing 1
king 9
kingdom 4
kinginwaiting 1
known 2
lack 1
lady 2
laments 1
last 2
later 3
lazy 1
league 1
learn 1
learns 1
leaving 1
left 2
life 4
like 1
literally 1
little 2
live 1
lives 2
living 1
lonely 2
love 1
loyalty 2
made 1
magic 2
making 1
man 3
manages 2
marched 1
marks 1
master 1
maternal 1
meaning 1
meanwhile 1
memory 1
met 1
middle 1
minor 1
mission 1
molly 1
moments 1
moonseye 1
more 2
mother 1
motive 1
mountain 4
moves 1
much 2
name 1
named 4
narrator 1
neighbouring 1
never 1
newly 1
news 1
night 1
no 1
nosy 8
not 2
now 1
oath 1
objective 1
of 33
off 1
old 1
older 1
on 5
one 2
ones 2
only 2
opens 1
or 2
order 1
orders 1
ostensibly 1
other 2
outislanders 1
outpost 1
overambitious 1
own 1
pages 1
pain 1
part 1
particular 1
patience 2
people 1
plan 1
plunder 1
plundered 1
poisoned 2
pool 2
position 1
possesses 1
post 1
preceded 1
prince 6
proper 1
prospects 1
protect 1
puppies 1
putting 1
queen 1
quickly 1
rage 1
raiders 2
raising 1
rampage 1
recalls 1
recluse 1
redship 1
reduced 1
referring 1
regal 6
regions 1
remembering 1
rendering 1
rescue 1
rescued 1
respect 1
retires 1
return 1
returned 2
revealed 1
reveals 1
revering 1
right 1
robbers 1
royal 1
rurisk 5
sabotage 1
safeguards 1
safely 1
said 1
schooled 1
seat 1
second 2
secret 1
see 1
seem 1
seemingly 1
sends 1
senior 1
sense 1
sent 1
serve 1
service 1
share 1
shows 1
shrewd 4
sign 1
sister 2
six 3
skill 7
skilled 1
skills 2
smithy 1
so 2
soldier 2
sole 1
son 2
stable 2
stableman 1
stables 1
start 1
state 1
steal 1
stealing 1
story 1
strength 1
stripping 1
strongly 1
students 1
submerged 1
success 1
successfully 1
such 1
suspected 1
take 1
taken 1
takes 1
taking 2
talent 1
tasks 1
taught 3
teacher 1
teeth 1
telepathically 1
tell 1
test 1
that 10
the 70
their 2
them 2
then 1
these 2
thieves 1
this 5
thoughts 1
throne 2
through 3
thrown 1
thus 1
to 45
told 1
towards 1
town 1
towns 1
training 2
travels 1
treats 2
tries 3
trilogy 1
true 1
two 2
uncle 1
under 2
up 1
use 1
useless 1
users 1
using 3
verity 7
village 1
villages 1
waiting 1
was 2
water 1
way 1
ways 1
we 2
weaponmaster 1
well 1
were 2
what 1
when 5
which 3
while 4
who 6
whom 1
wife 2
wit 2
witbonded 1
with 18
without 1
withywoods 2
words 1
writing 1
year 2
young 1
younger 1
