10040902
/m/02p_tl8
/m/02p_tl8
Rick Yancey
2005
105 1
a 20
about 1
accidentally 1
after 1
again 1
agents 1
alfred 23
alfreds 1
alias 1
all 1
also 1
an 4
and 21
any 1
anything 1
apartment 1
are 3
arnold 1
around 1
arthur 4
as 7
asks 1
at 7
attacked 6
attempts 1
basically 1
battle 1
because 1
been 2
bennacio 14
bernard 4
billion 1
blade 1
blood 1
boss 1
both 1
break 1
but 3
by 7
cafes 1
called 2
calls 2
can 3
canada 1
cave 2
caves 1
ccx 1
chance 2
claim 1
codename 1
coffee 1
continue 1
continues 1
control 1
critically 1
crosses 1
cut 2
cutting 1
dad 1
damaged 1
darkness 1
daughter 2
day 2
deceased 1
defeat 1
defenders 1
descendant 1
destiny 1
do 1
dollars 2
double 1
dragon 1
drive 2
end 1
england 1
ensues 1
enzo 1
escape 1
even 1
excalibur 3
exchange 1
excitement 1
explains 2
family 1
farrel 1
farrell 3
father 1
ferrari 2
fighting 1
find 1
finds 2
finishes 1
fly 1
follows 1
for 5
foster 1
france 2
from 2
get 2
go 1
goes 1
granted 1
guard 1
hanging 1
has 4
having 2
hayabusas 1
he 13
heal 3
healed 1
heir 2
held 1
help 2
henchmen 1
here 1
hero 1
hijack 1
him 8
himself 4
his 5
home 3
house 1
however 1
if 1
impaled 1
in 12
including 1
interjects 1
international 2
into 2
is 14
it 3
jaguar 1
jativa 1
job 1
journey 1
kill 1
killed 1
kills 3
king 1
knight 3
knows 1
koenigsegg 1
kropp 4
lancelot 2
last 1
lead 1
leave 3
leaves 1
leaving 1
lets 1
life 2
lives 1
lost 1
main 1
making 1
man 2
manage 1
manages 1
marriott 1
master 2
meets 2
member 2
merlin 3
mike 1
million 1
mogart 8
monk 1
monks 1
more 2
mostly 1
mother 1
myers 4
named 2
natalia 1
nearby 1
next 2
normal 2
nova 1
object 2
of 18
off 2
offers 3
office 1
oipep 4
on 3
once 1
one 1
only 1
order 1
organization 1
original 1
out 2
owned 1
particularly 1
personally 1
pinned 1
pleads 1
power 2
pray 1
process 1
protector 1
pull 1
pulls 1
ransom 1
ready 1
reclaim 1
relating 1
replies 1
return 1
returns 2
revealed 1
reveals 1
room 1
safe 1
samson 5
save 2
school 1
scotia 1
secluded 1
security 1
sees 1
set 1
shop 1
six 1
small 1
spain 1
sparing 1
standing 1
stay 1
stays 1
steal 2
steals 1
stolen 1
stone 2
stop 1
stories 1
story 1
suzuki 1
sword 13
taken 2
takes 1
teenager 1
tells 1
terrorist 1
that 7
the 45
their 3
them 5
then 4
there 3
they 7
this 3
though 1
three 1
through 1
time 2
tintagel 2
title 1
to 30
town 1
trade 1
traitor 1
travels 1
true 1
try 1
tuttles 1
unable 2
uncle 5
underneath 1
unsatisfied 1
unwillingly 1
up 1
upon 1
uses 1
wall 1
wanted 1
wanting 1
was 4
way 1
were 2
when 3
where 4
which 1
who 5
whom 1
windimar 1
with 5
without 1
work 1
wound 1
yearns 1
