6618682
/m/0gf18t
/m/0gf18t
Poul Anderson
1962
100 1
12 1
300 1
6 1
a 41
able 5
aboard 1
about 1
addressing 1
administer 1
adventurer 1
after 1
afterwards 1
against 1
agent 1
alexandra 2
alien 1
all 2
allowing 1
almost 1
alone 1
along 2
alteration 1
altered 1
although 1
amass 1
an 5
analysis 1
and 27
angry 1
another 1
apart 1
apparently 1
appears 1
approach 1
are 14
arnold 1
around 1
artificial 2
as 4
at 3
attacked 1
attempting 1
aware 1
away 1
bargains 1
base 1
basis 1
battle 2
be 4
because 1
been 1
before 1
behind 1
being 3
believe 1
benjamin 2
beyond 2
biota 1
biotech 1
biotechnology 1
biped 1
birdlike 1
bluff 1
bluffs 1
boards 1
bombs 1
both 1
boundaries 1
brandobar 1
breaks 1
broadcasting 1
bulkhead 1
but 4
buy 1
by 9
calculated 1
called 1
can 1
capitalist 1
captain 1
captors 1
capture 1
captured 1
carefully 2
carl 2
carry 1
central 1
ceti 1
chance 1
chapter 1
charter 1
chassis 1
chief 1
choice 1
cleanse 1
cluster 1
coherent 1
colonizing 1
committed 1
common 1
comply 1
confer 1
confinement 1
connections 1
considerations 1
consumed 1
conversion 1
copy 1
coup 1
courtesy 1
crafted 1
create 1
creatures 1
crew 7
crewed 1
crews 2
crime 1
crust 1
culture 6
cultures 1
de 1
decide 1
decode 1
dedicated 1
demoralizes 1
descended 1
describes 1
designed 3
destroy 1
destroyed 4
detect 1
detection 1
detector 1
determined 3
detonated 1
develop 1
device 2
devices 1
die 1
different 2
disable 1
disabling 1
disaster 1
discipline 1
discover 1
disinformation 1
distance 1
distort 1
do 2
done 1
donnan 10
down 2
draga 1
drive 2
drives 1
drone 1
dummy 1
each 1
earth 9
economy 1
effect 1
efficiently 1
either 1
eliminate 1
empire 1
encouraging 1
enemy 1
engineer 1
enough 2
entirely 1
eruptions 1
escape 2
especially 1
europa 4
even 1
eventually 1
explosions 1
far 2
favor 1
feathered 1
few 1
fight 1
final 1
find 2
finding 1
first 1
fit 1
flees 1
fleet 1
for 9
forces 1
form 1
former 1
forms 1
forsi 2
found 1
franklin 3
friend 2
fringe 2
fringes 2
from 10
galactic 1
galaxy 2
gave 1
gnomes 1
go 1
goldspring 3
gone 2
grce 1
guerrilla 1
guide 1
gunnery 1
handful 1
has 5
have 6
he 3
head 1
heavyset 1
help 1
her 4
him 1
his 7
hlott 2
hold 1
holmen 3
home 1
homeworld 2
hope 1
hoping 1
horribly 1
host 1
however 1
humanity 1
humans 3
ideas 1
if 2
in 10
inc 2
including 1
incompatible 1
indicates 1
inducing 1
inside 1
intelligence 1
interference 1
interrogated 1
interrogation 1
interstellar 1
into 1
is 25
it 7
its 1
jump 1
just 2
kandemir 1
kandemirian 5
kandemirians 6
katkinu 2
kidnapped 1
killed 1
kinsman 1
labor 1
laboring 1
laothaung 2
last 1
leading 1
learn 1
leave 2
leaves 1
less 1
let 1
lets 1
life 1
lifeforms 1
like 1
little 1
living 1
local 2
long 1
look 1
loss 2
lurk 1
luurs 2
make 1
making 1
man 1
manufacture 1
manufactured 1
many 2
material 1
mathematician 1
may 1
men 5
merchant 1
message 2
might 1
minor 1
minstrel 1
missile 3
missiles 7
monitored 1
monitoring 1
monwaing 2
monwaingi 3
moon 1
more 1
murderers 1
must 2
mystery 1
named 1
national 1
navigation 1
new 5
news 1
next 1
no 3
novel 1
now 1
nuclear 1
nucleus 1
obvious 1
occur 1
of 40
off 2
office 1
officer 2
officers 1
official 1
on 10
once 1
one 9
only 2
or 2
originating 1
other 5
out 4
outpost 1
outposts 1
over 1
owed 1
own 2
parts 1
past 1
pattern 1
planet 3
planets 1
polycultural 1
possibly 1
power 1
powers 1
price 1
proceed 1
process 2
producing 1
proposition 1
prove 1
purge 1
quatrains 1
quest 1
races 1
raid 2
ramri 6
range 1
ready 1
real 1
realize 2
recording 1
recreate 1
refuses 1
representative 2
representatives 1
reprogram 1
resemble 1
resist 1
rest 1
returning 2
returns 2
revolt 1
rifle 1
rival 1
roaming 1
routes 1
rulers 1
ruthless 1
ruthlessly 1
same 1
satellites 1
saw 1
say 1
scholarly 1
scrawled 1
script 2
search 1
see 1
seemingly 1
sells 1
senator 1
series 1
services 1
set 2
she 1
ship 5
ships 5
shocked 1
short 1
shown 1
side 2
sigrid 5
since 1
singer 1
skills 1
slaves 1
small 2
so 1
societies 1
society 2
solar 3
sold 1
soldier 1
some 1
song 6
sound 1
space 2
spacetime 1
specialized 1
spreads 2
squad 1
standing 1
star 2
stardrive 1
starship 2
steal 1
stealth 1
still 3
story 2
stringent 1
structure 1
study 1
subject 2
subservient 1
successful 1
suggestion 1
suicide 2
sure 1
survivors 1
suspects 1
swarming 1
symbols 2
system 3
table 1
take 2
takes 1
tarkamat 1
tau 1
team 1
teasing 1
technicians 1
technology 4
terran 2
that 7
the 111
their 3
them 4
themselves 1
there 3
thermonuclear 1
they 14
this 7
through 2
throughout 1
time 3
title 1
to 50
told 1
tracks 1
trade 3
trader 2
traders 2
travel 2
travelling 1
troops 1
truth 1
two 2
types 1
unable 1
united 1
unknown 1
unlike 1
unrelated 1
up 4
urban 1
uru 1
use 1
used 1
uses 2
using 1
uss 2
usual 1
verses 1
via 1
vibrant 1
victory 1
vorlak 3
vukovic 2
wandering 1
want 1
wanted 1
warlord 1
was 3
wave 1
waves 1
way 2
we 1
wealth 1
weapon 2
weapons 4
well 1
went 1
what 1
when 2
where 3
which 2
who 7
why 1
wider 1
will 3
with 9
within 2
without 1
women 3
work 2
world 1
worlds 1
worth 1
xo 1
