249745
/m/01l1vy
/m/01l1vy
John Braine

30 1
34muyah 1
a 18
able 1
about 5
accepts 1
accordingly 1
afraid 1
afterwards 1
again 4
all 2
alone 1
also 3
altogether 1
an 4
and 18
announces 1
anonymous 1
anticlimax 1
any 1
appointment 1
are 2
as 4
asks 1
asleep 1
at 4
baby 1
back 1
basis 1
be 1
because 1
become 1
been 3
behind 1
between 2
boring 1
both 1
boys 1
break 1
brother 1
brothers 1
but 1
by 4
calculate 1
can 1
catholic 4
certain 1
cheerful 1
child 1
children 2
church 1
clergyman 1
commits 1
committed 1
complicated 1
concerning 1
confessing 1
course 2
dating 1
day 3
decides 1
deliberate 1
deliberately 1
denied 1
desire 1
deus 1
didnt 1
different34 1
disappointed 1
divorced 1
doubt 1
down 1
driven 1
dungarvan 1
each 1
eggs 1
else 1
encounters 1
end 1
enjoyed 1
enormously 1
entitled 1
evening 1
ex 1
exhusband 1
fall 1
fascinated 1
father 1
fathered 1
first 2
flat 1
flatmate 1
following 2
for 8
found 1
freeing 1
friendship 1
girls 1
glad 1
going 1
gone 2
good 1
grown 2
guardian 1
guilt 1
had 4
happened 1
harry 1
has 8
have 4
he 23
hed 1
helplessness 1
her 7
him 3
himself 2
his 17
history 1
home 2
however 1
husband3s 1
i 1
if 1
illegitimate 1
im 1
immediately 1
in 7
increase 1
indifference 1
indiscretion 1
indolence 1
insignia 1
instances 1
intentions 1
invite 1
is 15
it 3
james 1
jealousy 1
later 1
laura 10
laura3s 1
learns 1
leave 1
let 1
letter 1
librarian 1
library 1
life 2
living 1
local 1
looks 1
loses 1
love 2
machina 1
made 1
make 1
makes 1
many 1
married 2
matthew 2
maureen 4
me 1
means 1
meantime 1
men 1
met 1
might 2
mind 1
miscarriage 1
more 1
morning 1
mother 4
never 1
new 2
nice 1
no 2
not 3
notion 1
number 1
of 11
on 3
once 2
one 4
or 2
other 2
out 4
over 1
overcome 1
own 2
past 1
paul 1
paving 1
planning 1
pleasure 2
possessive 1
power 1
prefers 1
pregnant 1
previous 1
price 1
priest 1
recently 1
recollects 1
reflected 1
regular 1
rejected 1
relationship 1
resolve 1
revelations 1
robert 2
ruth 1
said 2
sally 1
same 1
savage 1
school 1
schoolboys 1
scrambled 1
see 2
seeing 1
sees 1
senior 1
settled 1
sex 1
shattered 1
she 5
shyness 1
sin 2
sinful 1
single 1
sins 1
sisterinlaw 2
situation 2
smiled 2
so 1
some 2
something 1
somewhere 1
soon 1
special 1
spend 1
split 1
start 2
still 2
stopped 1
stopping 1
suicide 1
superficial 1
surprisingly 1
talking 1
teacher 2
tell 2
tells 1
that 12
the 23
their 1
them 2
then 1
there3s 1
they 3
this 2
through 1
time 1
to 15
too 1
top 1
transform 1
two 3
up 4
urging 1
very 2
vincent 9
virgin 1
virginity 1
vocation 1
was 3
way 1
wear 1
wedding 1
weeks 2
what 2
when 4
where 1
whereas 1
while 1
who 2
widowed 1
wife 1
with 7
without 1
woman 1
women 1
writes 1
years 1
you 2
youre 1
