15414649
/m/03m7q_x
/m/03m7q_x
Anthony Horowitz
1988
12yearold 1
a 16
absence 1
acting 1
after 2
all 1
along 1
an 3
and 10
anticipates 1
any 1
appears 1
are 3
arrive 1
as 1
assorted 1
at 4
attack 1
avoid 1
away 1
baffled 1
be 1
because 1
been 1
before 1
begins 1
being 1
black 1
boarding 1
bottle 1
but 5
by 3
call 1
called 1
can 1
caught 1
central 1
chance 1
character 1
chooses 1
cost 1
courtesy 1
cruelly 1
daughter 2
david 8
dealt 1
decide 1
destroy 1
determined 1
dilemma 1
disappearances 1
do 1
does 1
earnestly 1
eliot 1
enemies 1
enter 1
escape 1
escorts 1
especially 1
evil 1
expelled 1
father 2
fingers 1
for 3
frightsand 1
from 4
full 1
future 1
get 1
gets 1
ghost 1
going 1
gold 1
grange 3
green 1
gregor 1
groosham 3
guitar 1
has 2
he 8
headmaster 1
heard 1
heart 1
help 1
helps 1
him 4
himself 1
his 8
home 1
hopes 1
how 2
hunchback 1
hymns 1
if 1
in 2
including 1
inexplicable 1
inspector 1
into 1
investigate 1
invites 1
is 5
island 2
it 4
jeffrey 3
jill 4
joseph 1
jumps 1
just 1
kept 1
king 1
lastchance 1
lead 1
learn 2
learns 1
lies 1
liverpool 1
located 1
lynn 1
magic 1
make 1
makes 1
manages 1
meets 1
mention 1
message 1
mistreated 1
mistreatment 1
more 1
mrs 1
must 3
mystery 1
new 1
nobody 1
nonmagical 1
norfolk 1
normal 1
not 2
note 1
of 9
off 2
on 3
or 1
other 3
out 1
outside 1
pack 1
pact 1
parents 1
peculiar 1
people 1
perform 1
permanently 1
place 1
plays 1
potential 1
promises 1
punishments 1
rather 1
receive 1
recruited 1
remain 1
repressive 1
run 1
school 7
schools 1
secret 1
see 1
seeming 1
sent 1
series 1
seventh 4
severe 1
she 1
side 1
since 1
sits 1
skrull 1
snapping 1
solve 1
son 2
staff 1
start 1
strange 1
street 1
students 3
suffers 1
suitably 1
suspiciously 1
take 1
teachers 1
tempts 1
than 1
that 7
the 16
them 3
then 2
they 7
things 1
this 2
to 17
train 2
two 1
unexpected 1
unknown 1
unleash 1
use 1
very 1
via 1
vicar 1
well 1
werewolf 1
when 1
where 1
which 1
will 2
windergast 1
wish 1
witches 1
with 7
wizard 1
wizards 1
world 1
your 2
yourself 1
