23980844
/m/076xcsn
/m/076xcsn
Stephen Hunter
2000
1stsgt 1
45 2
a 20
above 1
accepting 1
accusation 1
action 1
actual 1
afraid 1
after 3
against 1
agent 1
all 3
also 3
always 1
an 3
and 24
another 1
appear 1
appears 1
approach 1
approached 1
are 3
arkansas 3
arrested 2
artwork 1
as 3
asked 1
assassination 1
assassins 1
assistant 1
assisting 1
assists 1
at 1
attorney 2
automatic 1
automatics 1
baby 1
backs 1
bandits 1
be 2
beaten 1
became 1
because 3
becker 2
becomes 1
been 1
before 1
being 4
belief 1
better 2
birth 2
black 4
bob 1
boss 1
both 1
boys 1
briefly 1
brings 1
broke 1
brother 1
browning 1
bulletproof 2
but 4
by 5
can 1
cant 1
capital 1
carlo 3
carrying 1
casino 1
casinos 1
central 1
ceremony 1
charles 1
child 1
city 4
claims 1
close 1
condition 1
confiscate 1
confronts 1
corruption 1
county 2
crew 1
crime 1
critical 1
custom 1
d 3
dc 1
death 2
decide 1
did 1
die 1
dirty 1
district 1
do 1
doctor 3
doesnt 2
down 1
dream 5
during 5
dying 2
earl 9
easy 1
end 2
enraged 1
entered 1
ever 1
everything 1
evidence 1
exfbi 1
fact 1
fails 1
faked 1
familiar 1
father 5
favour 1
feels 1
fight 2
finally 2
find 1
finds 5
firing 1
for 5
form 1
former 1
found 1
fred 1
freed 1
frenchy 4
from 3
gambling 3
garland 1
gathering 1
get 1
gives 1
giving 1
go 1
goes 1
got 1
governor 1
gunfight 1
guns 1
hand 1
handguns 1
has 4
he 9
heavy 1
henderson 4
hero 1
him 10
himself 1
his 8
holiday 1
home 1
honor 1
hospital 3
hot 6
how 1
however 1
hunter 1
hurting 1
idea 1
if 2
illegal 1
impact 1
important 1
in 20
including 2
informs 1
instinct 1
instruct 1
into 2
investigate 1
investigation 3
is 13
job 2
june 3
kill 1
killed 4
kills 1
knowledge 1
known 1
landscape 1
later 2
leads 1
leave 1
leaving 2
lee 1
let 1
light 2
little 1
loaded 1
local 1
locals 1
lot 2
luckily 1
lynch 1
maddox 4
make 1
man 1
maps 1
meantime 1
meanwhile 1
medal 1
members 2
men 5
mission 2
mob 2
money 1
mother 1
murderer 1
necessary 1
network 1
never 2
new 2
next 1
no 1
not 1
novels 1
nuances 1
occurs 1
of 25
off 1
office 2
official 1
old 1
on 4
once 1
one 1
only 2
operations 2
orders 1
organized 1
other 3
others 2
out 6
outfitted 1
outraged 1
over 1
own 1
owney 3
owning 1
paid 1
parker 6
partner 1
past 1
patient 1
people 1
places 1
point 1
pointing 1
police 1
policeman 1
policemen 1
polk 2
position 1
preferably 1
pregnant 1
prison 1
promptly 1
propose 1
protect 1
protracted 1
questions 1
receiving 1
related 1
reputation 1
rescue 1
research 1
responsible 1
results 3
retired 1
return 1
reveals 2
rifles 1
right 1
robbery 1
role 1
sam 1
savage 1
search 1
seen 1
seven 2
several 3
she 1
sheriff 1
short 4
shown 1
side 1
smart 1
so 2
sole 1
something 1
son 2
soon 2
sort 1
springs 6
states 1
stolen 1
subject 1
submachine 1
successfully 1
such 1
suggests 2
support 1
supposedly 2
survives 1
survivors 1
swagger 14
team 8
telephone 1
than 2
that 13
the 51
their 4
them 8
then 1
there 1
these 1
they 3
this 1
thompson 1
three 1
time 2
times 2
to 22
took 1
town 1
train 1
trap 1
tries 2
twelve 1
two 3
ultimately 1
united 1
unseen 1
unusual 1
vacation 1
vest 1
vests 1
vincent 2
violence 1
warns 1
was 3
washington 1
way 2
weaponry 1
wearing 1
well 1
were 1
when 1
which 2
while 1
white 3
who 5
wife 2
will 1
with 8
without 2
work 1
young 3
