18359340
/m/04f6ck9
/m/04f6ck9
Ian Page
1986
{"/m/03ff00": "Gamebook", "/m/0dwly": "Children's literature"}
a 3
across 1
again 1
ally 1
an 3
and 5
as 1
at 1
attempt 1
be 1
beings 1
beyond 1
but 1
called 1
comes 1
creatures 1
daziarn 2
defeated 1
destroy 1
empire 2
fearsome 1
find 3
fist 1
for 1
forced 1
gate 1
gray 1
grey 2
has 1
he 3
help 2
her 1
his 1
if 1
in 2
inhabiting 1
into 1
iron 1
is 4
it 1
itself 1
known 1
land 1
location 1
lost 1
made 1
magnamund 2
many 1
moonstone 3
most 1
must 1
never 1
neverness 1
of 6
one 1
part 1
people 1
plains 1
plays 1
realm 2
retrieve 1
return 1
ruling 1
see 1
series 1
seven 1
shadaki 1
shadakine 2
shadow 2
shasarak 1
shianti 1
southeastern 1
star 2
strange 1
subjugated 1
the 21
then 1
thought 1
tip 1
to 7
travel 1
tyrant 1
unexpected 1
upon 1
way 2
with 4
would 1
wytches 1
wytchking 2
