21716322
/m/05mytl_
/m/05mytl_
Jonathan Raban
1985
{"/m/02xlf": "Fiction"}
a 38
about 7
account 1
acquired 1
action 1
actually 1
aden 1
admiralty 1
affairs 1
africa 1
after 4
again 1
against 2
alive 1
all 3
also 3
always 1
ambiguous 1
an 7
and 33
angela 4
angelas 1
annual 1
another 1
answer 1
anything 1
approached 1
are 4
around 1
arranged 1
arranges 1
arrive 1
arrives 1
arriving 1
as 5
ascendancy 1
at 12
attended 1
attending 1
attention 1
authoress 1
automatically 1
bachelor 1
back 5
bank 1
beautiful 1
beauty 1
became 1
becomingly 1
been 5
before 1
beginning 1
belongs 1
bill 2
board 3
boat 5
bom 3
book 2
booking 1
bought 1
break 1
britain 1
bulged 1
bunkering 1
but 4
buy 1
by 15
cadix 4
california 1
call 1
calliope 4
callipoe 1
capital 2
car 1
cards 2
cautiously 1
chandlers 1
change 1
charts 1
chests 1
childhood 1
choosing 1
christmas 1
church 2
circumstances 1
clean 1
club 1
coastal 1
colleague 1
collect 1
colonial 1
coming 1
commander 1
commonader 1
communications 1
concerned 1
connolly 1
containing 1
convention 1
cornwall 1
could 1
couldnt 2
count 1
cracked 1
creole 1
crumbling 1
cubans 1
cyril 1
daughter 1
day 1
deal 1
decides 2
decision 1
declaration 1
denys 1
detests 1
diana 5
dianas 1
did 2
different 1
difficult 1
discovers 1
discussing 1
do 1
done 1
doubleentendres 1
dover 1
down 4
drink 1
drinks 1
duarte 1
during 3
easiest 1
eccentricity 1
eduordo 1
elation 1
elderly 1
encounters 1
end 1
ends 1
england 3
entered 1
evasive 1
even 1
eventually 1
ever 1
everything 1
exlover 1
exwife 1
failed 1
fails 1
family 1
far 1
fast 1
father 6
fathers 1
felt 2
feminist 1
ferguson 1
fifteen 1
figure 1
finally 1
financially 1
find 3
finds 2
first 3
fleet 1
flying 1
for 4
former 2
from 8
gallantry 1
game 1
garden 1
gardening 1
geneva 2
george 25
georges 4
get 1
given 2
gives 2
going 1
goods 1
got 1
grated 1
grey 3
growing 1
guard 1
guest 1
had 8
hadnt 1
haigh 1
haighs 1
half 1
harbour 1
has 2
hasty 1
have 1
having 1
he 28
heathrow 2
hed 1
held 1
helped 2
helpless 1
her 12
here 1
him 13
himself 3
his 34
historically 1
home 2
homeland 1
host 1
hostess 1
hostile 1
hot 1
hotel 1
house 4
how 3
however 3
if 2
imminent 1
impulse 1
in 19
incident 1
increasingly 1
independent 1
indulge 1
informed 2
informs 1
inherit 1
instructor 1
intact 1
into 2
invitation 1
is 23
it 14
item 1
its 2
job 1
julie 1
kind 1
knack 1
lamps 1
later 2
lavish 1
learnt 1
leaves 1
leaving 1
letter 2
life 3
lift 2
like 3
lives 1
living 1
loads 1
london 3
lonely 1
long 1
lover 1
lyme 2
makes 1
man 1
manage 1
manager 1
manages 1
marriage 1
married 1
marsland 2
marxist 1
masters 1
meet 2
meeting 1
meets 1
midnight 1
midships 1
might 1
minister 1
money 4
montedor 2
months 1
more 4
most 1
mountaineous 1
moves 1
much 1
muslim 1
natural 1
naval 1
navigates 1
navigation 2
navy 1
need 1
neighbours 1
nesbit 1
new 1
news 3
nickname 1
no 1
northwest 1
not 2
nothing 1
novel 2
now 3
of 22
off 1
official 1
old 3
on 17
once 1
one 3
only 3
openly 1
opens 1
other 1
out 4
overhaul 1
overwhelmed 1
own 1
paim 1
panafrican 1
parents 3
particularly 1
partner 1
party 2
past 4
patrol 1
people 1
phone 1
plainness 1
planning 1
plans 3
plays 2
pleased 2
point 1
polished 1
popular 1
population 1
portland 1
porto 3
portuguese 1
possessions 1
post 1
postcards 1
pour 1
power 1
pregnant 1
presented 1
president 1
presidents 1
previously 1
provisions 1
prynne 1
pupil 1
purchase 1
pwllheli 2
pym 2
qflag 1
raban 1
race 1
ramshackle 1
rather 1
real 1
realizes 1
reason 1
receives 1
reception 1
recipients 1
recognise 1
rector 1
red 1
reflects 3
refused 1
regis 2
relationship 1
relaxed 1
republic 1
resident 1
retained 1
retire 1
retirees 1
return 2
returns 3
revolution 1
rising 1
room 1
round 2
royal 1
running 1
rye 2
sabotaged 1
saddened 1
sail 1
sale 1
same 2
saying 1
scene 1
school 1
seems 1
sell 2
sendoff 1
series 1
session 1
sets 1
settles 1
sex 1
sextant 1
she 9
sheila 7
shifts 1
shipping 1
side 1
since 1
singer 1
singlehanded 1
six 1
skills 1
slang 1
slowly 1
small 1
smutty 1
snub 1
so 1
social 1
some 5
someone 1
somewhere 1
sort 1
spanish 1
spend 1
spent 1
spring 1
squash 1
st 4
started 1
starts 1
statement 1
station 1
stay 2
staying 1
steadily 1
steering 1
stiff 1
still 3
storage 1
store 1
strained 1
studying 1
subjugate 1
successfully 2
summer 1
summers 1
sunday 1
suppression 1
surprise 1
surprised 2
sv 1
tables 1
taken 1
taking 1
talk 1
talking 2
tea 1
teddy 1
telephone 1
tells 3
temptation 1
thalassa 4
than 2
that 15
the 54
their 4
them 2
then 4
there 5
they 6
this 2
thoughts 1
three 1
through 1
time 3
tiptoed 1
to 52
tom 4
too 1
took 1
totally 1
towards 1
track 1
transferred 1
travelling 1
travels 1
tribe 1
tribesmen 1
try 2
trying 1
tunnymen 1
turn 1
turning 1
turns 1
two 2
under 2
underline 1
unemployed 1
up 1
use 2
used 1
uses 1
ushant 1
vera 1
vessel 1
virgin 1
visit 4
visited 1
voyage 1
walpoles 1
warmly 1
was 12
we 1
weekend 1
welcomed 1
well 1
were 2
weymouth 1
when 4
where 3
which 3
while 2
whilst 5
who 7
whom 2
wife 1
wild 1
will 1
wing 1
with 11
wolf 1
wolofs 1
work 1
worldly 1
writes 2
yacht 1
years 1
yet 1
young 2
youths 1
