8206943
/m/026w5cb
/m/026w5cb
Colin Dann
1979
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 66
abilities 1
able 1
about 6
accepts 1
accidentally 1
accompany 2
account 1
acquire 1
across 2
actions 1
adder 9
advice 1
after 10
again 1
against 1
ago 1
agree 2
agrees 1
ahead 1
alive 2
all 22
allows 1
almost 6
along 2
already 1
also 7
although 1
amazement 1
ambush 1
amends 1
an 8
and 71
animal 3
animals 29
another 2
anymore 1
appeared 1
are 21
arise 1
arm 1
army 2
around 3
arrangements 1
arrival 1
arrive 3
arrives 2
as 25
aside 1
ask 1
asking 1
asks 1
asleep 1
assembly 2
assumes 1
assures 1
astounded 1
at 7
attracting 1
avoid 1
away 3
babies 2
back 6
bad 1
badger 19
barn 5
be 12
beak 1
beautiful 1
became 1
because 2
becomes 2
becoming 3
been 4
before 2
behind 4
being 6
believe 1
believing 1
better 2
between 1
bigger 1
bird 1
birds 3
biting 1
blames 2
blaming 1
book 1
both 6
bottle 1
break 3
bridge 1
brushes 1
built 1
burrow 3
busy 1
but 16
butcher 2
buy 1
by 24
cabbages 2
cabin 1
call 1
called 1
calling 1
can 3
cannot 2
captured 1
carnivores 1
carp 1
carries 1
carry 2
catches 1
caught 3
caused 2
causing 1
cease 1
celebration 1
character 1
charge 1
cheerful 1
chickens 1
choose 2
church 3
cigarette 1
circle 1
cleverest 1
climb 1
combined 1
comes 3
company 1
complete 1
confirming 1
confusing 1
consider 1
constantly 1
continue 2
continues 1
continuing 1
controlled 1
convince 1
copse 5
could 1
couldnt 1
country 1
countryside 2
couple 4
covered 1
created 1
creature 1
crisis 1
cross 9
crossed 1
crossing 4
curling 1
current 1
cynical 1
danger 1
dangerous 1
dangers 1
dark 1
day 3
days 4
dead 1
death 1
debris 3
decide 1
decided 1
decides 3
decision 1
deer 6
delight 1
deputy 1
destination 1
destroyed 1
devise 1
did 4
differences 1
different 2
dig 1
digging 1
digs 1
direct 1
directions 1
disappeared 2
disappears 1
discord 1
discover 1
discovers 1
distract 1
distracts 1
divided 1
do 4
does 1
dog 1
doing 1
done 1
dont 1
doubt 1
down 3
downstream 1
driftwood 1
drink 1
droll 1
dropped 1
drought 1
drowned 1
due 4
dug 1
each 5
earth 1
eat 1
eaten 1
eating 1
efforts 1
either 1
end 1
ended 1
ending 1
ends 2
enemies 1
enjoy 1
enough 1
enter 2
entering 1
escape 1
especially 1
estate 1
even 3
events 1
eventually 1
ever 1
everyone 2
except 1
exception 2
explains 1
extent 1
extinct 1
extinguish 2
eye 1
faced 1
fact 4
fall 3
falls 1
far 1
farm 3
farmer 2
farthing 7
fast 2
fear 1
feel 1
feeling 3
feels 1
few 4
field 3
filled 1
final 1
finally 2
find 9
finding 1
finished 1
fire 5
firemen 1
fish 1
fit 1
flee 1
flies 1
flots 1
flung 1
