34262689
/m/0hzp1h4
/m/0hzp1h4
Penelope Farmer

{"/m/0dwly": "Children's literature"}
a 9
able 3
after 2
again 1
age 1
along 1
also 2
an 1
and 18
appear 1
appearing 1
appointed 1
are 7
arrive 1
as 6
at 4
attempts 1
aviary 1
away 1
back 2
backwards 1
be 1
begin 1
beginning 2
being 6
birds 1
boarding 2
bob 1
bobby 10
boy 1
but 2
by 5
calls 1
charlotte 2
children 5
classmate 1
classmates 1
close 1
comes 1
concentrate 1
confronted 1
consistently 2
consume 1
defeated 1
dinosaur 1
distance 1
distant 1
distorted 1
do 1
does 1
downs 2
downwards 1
dragged 2
draws 1
dream 3
dreams 9
eden 1
emma 9
eventually 2
evil 2
eyes 1
facing 1
farther 2
fat 1
final 1
fly 2
form 1
fumpkins 1
garden 1
girl 1
great 1
grotesque 1
ground 1
hall 1
hallibutt 1
having 1
he 1
head 2
her 4
him 1
his 2
home 4
hostile 1
ice 1
if 2
in 11
initial 1
initially 1
into 2
is 4
it 1
its 1
itself 1
jerked 1
joy 1
knowing 1
laneway 1
leaves 1
london 1
mammoth 1
miss 1
monstrous 1
north 1
not 2
observed 1
of 11
older 1
oldest 1
on 2
only 1
out 2
over 1
pair 1
pleasant 2
prehistoric 1
presence 1
react 1
realises 2
realising 1
reality 3
replicas 1
return 4
revealed 1
rocky 1
runs 1
same 1
school 5
schoolfriend 1
sea 2
second 2
see 2
seeing 1
series 1
shadowed 1
shore 1
shrink 1
simultaneously 1
sister 1
soon 1
south 1
speculate 1
stand 1
stay 1
strangely 1
successive 1
summer 1
taking 1
teacher 1
teased 1
term 3
that 3
thaw 1
the 29
their 8
them 2
themselves 1
then 1
these 1
they 11
thoughts 1
threatens 1
time 3
to 13
towards 1
transforming 1
travel 1
trees 1
two 2
up 1
village 1
visible 1
visiting 1
walk 1
watching 1
were 1
where 1
will 4
wintertime 1
with 6
world 4
