4147879
/m/0blnsb
/m/0blnsb
John Fante
1939
14yearold 1
a 11
admitted 1
agonizing 1
an 2
and 9
angeles 4
apartment 1
arranges 1
arrives 1
arturo 1
as 2
awaits 1
away 1
bandini 7
beach 1
before 2
belongings 1
boarding 1
buffet 1
bunker 1
buys 1
camilla 7
catholic 1
columbia 1
copy 1
coworker 1
creates 1
decides 1
dedicates 1
depression 1
desert 4
despises 1
destitute 1
deteriorating 1
doesnt 1
dog 2
down 1
downtown 1
during 1
dying 1
dystopia 1
empty 1
era 1
escaping 1
eventually 1
except 1
falls 1
fear 1
find 1
finding 1
for 5
from 2
get 1
girl 1
go 1
gone 1
great 1
guilt 1
had 1
has 2
he 16
her 8
herself 1
hill 1
him 1
his 8
home 1
hospital 1
hotel 2
house 2
if 1
ill 1
impresses 1
in 7
into 3
is 4
it 2
land 1
laughed 1
leaves 1
little 2
live 1
living 2
looks 3
lopez 2
los 4
love 3
loves 1
meets 1
mental 1
modern 1
moved 1
new 1
no 1
novel 1
of 5
off 1
on 1
one 3
only 1
oranges 1
out 1
over 2
own 1
picture 1
place 1
poorly 1
poverty 1
published 2
recently 1
residential 1
returns 2
room 1
rundown 1
sam 5
second 1
section 1
seedy 1
shack 1
she 3
short 1
story 1
struggles 1
struggling 1
take 1
takes 1
telling 1
that 1
the 13
there 1
they 1
thrown 1
throws 1
to 11
tracks 1
treat 1
unconsciously 1
unstable 1
waitress 1
wanders 2
wants 1
when 1
where 1
who 2
win 1
with 5
women 1
wont 1
writer 1
zest 1
