11350877
/m/02r8l14
/m/02r8l14
Frederic Dannay

{"/m/02n4kr": "Mystery", "/m/0j5nm": "Whodunit", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
a 8
addition 1
after 1
amateur 1
an 4
and 6
are 1
art 2
attorney 2
been 1
bill 1
burned 1
but 1
by 2
called 1
case 1
closed 1
clues 1
coffin 1
collector 1
colorblindness 1
concerns 1
contains 1
copies 1
da 1
dead 2
dealer 2
death 1
deduction 1
deductions 1
detective 1
differing 1
discovers 1
district 1
door 1
down 1
early 1
either 1
elderly 1
ellery 4
embarrassing 1
entirely 1
error 2
exconvict 1
exhumed 1
extended 1
famous 1
father 1
for 1
force 1
greek 1
guilt 1
have 1
he 1
himself 1
his 5
homicide 1
however 1
importantly 1
in 4
infinitesimal 1
inspector 1
internationally 1
involve 1
is 4
it 2
keeps 1
lay 1
leonardo 1
location 2
man 2
missing 1
most 2
murderer 1
narrows 1
new 1
no 1
notifies 1
novel 1
number 1
of 9
office 1
on 1
only 1
open 1
or 1
painting 1
performs 1
piece 1
police 1
possible 1
probably 1
proved 1
public 1
queen 1
readers 1
remainder 1
richard 1
shred 1
single 1
skin 1
son 1
squad 1
strangled 1
stung 1
subsequent 1
surprising 1
teacups 1
that 2
the 12
this 1
thousanddollar 1
to 2
tone 1
trap 1
two 1
typing 1
unmasking 1
unsuspected 1
used 1
vinci 1
was 1
when 2
who 1
whose 2
will 5
wrong 1
york 1
