6185359
/m/0fvqmb
/m/0fvqmb
Frederick Forsyth
2006
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
2 2
a 21
able 1
academics 1
accepted 1
accidentally 1
across 1
afghan 5
afghanistan 3
after 2
against 2
al 2
alerts 1
allies 1
allows 1
also 1
although 1
america 1
an 6
ancient 1
and 13
another 1
appeared 1
aq 4
arab 1
arabic 1
as 6
at 2
attack 2
authorised 1
back 1
bay 2
became 1
before 2
being 1
bengaliindian 1
bin 2
board 1
bohse 1
bombing 1
book 1
bora 1
borneo 1
bose 1
boy 1
brief 1
brother 1
but 2
by 3
canada 1
captivity 1
careless 1
cargo 1
caribbean 1
carrying 1
cascades 1
chase 1
chestnutbrown 1
chosen 1
clearance 1
code 1
command 1
committee 1
compatriot 1
complexion 1
compound 1
concerning 1
concerns 1
contact 1
contributed 1
could 1
covert 1
crashes 1
crowbar 1
cryptic 1
currently 1
cynical 1
dead 1
decoy 1
destroying 1
determined 1
documents 1
due 2
during 1
eastern 1
echelons 1
educated 1
encounter 1
entirely 1
escapades 1
escape 1
escapes 1
events 1
eventually 1
expert 1
familiar 1
family 1
fighter 2
finally 2
fist 1
five 1
following 3
for 3
forsyth 1
free 1
freedom 1
from 1
further 1
g8 1
gaffe 1
gas 2
general 1
get 1
god 1
grandmother 1
group 1
guantanamo 2
guards 1
had 1
handlers 1
has 1
have 1
he 7
held 3
heroic 1
heroism 1
hiding 1
highest 1
highly 1
hijack 1
hijacking 1
him 2
his 13
house 1
ignite 1
impersonating 2
in 17
incarcerated 1
incinerate 1
incommunicado 1
indira 1
infiltrate 1
intend 1
intended 1
into 1
investigations 1
involved 1
involves 1
iraq 2
is 13
it 2
izmat 4
jet 1
joint 1
khan 4
killed 1
koran 1
laden 2
language 1
largely 1
last 1
later 2
leader 1
learns 1
leaving 1
left 1
level 1
life 1
like 1
liner 1
liquid 1
long 1
look 1
makes 2
martin 7
mary 2
maternal 1
member 1
met 1
mi6ciaisi 1
midatlantic 1
mike 1
minute 1
misspelled 1
most 1
mountains 1
mujahideen 1
named 1
nature 1
nearperfect 1
novel 1
now 1
occupation 1
of 9
off 1
officer 1
on 3
operation 1
operatives 1
or 1
osama 2
out 1
over 1
overheard 1
pakistan 2
pashto 1
pashtun 1
pass 1
passed 1
petroleum 1
phone 1
physically 1
place 2
planned 1
portrayed 1
prevent 1
previously 1
prior 1
prisoner 3
public 1
qaeda 2
queen 2
quick 1
raid 1
raises 1
range 1
reaches 1
reberthing 1
reflexes 1
reinfiltration 1
release 1
repatriated 1
rescued 1
resistance 1
retired 1
revealed 1
safe 1
sas 1
seaboard 1
secret 1
security 1
selfsacrifice 1
senior 1
serve 1
several 1
sheik 1
ship 2
shot 1
sometime 1
soviet 1
specialising 1
stagemanaged 1
state 1
steams 1
story 2
subsequent 1
successful 1
successfully 1
suicidal 1
summit 1
take 1
tanker 3
terrorist 2
terrorists 1
texts 1
that 2
the 33
then 1
this 2
threat 1
to 17
tora 1
tragedy 1
triggers 1
trying 1
uncovers 1
under 1
unscathed 1
us 3
using 1
vengeance 1
village 1
volunteers 1
walk 1
wall 1
warn 1
was 1
washington 1
way 1
weeks 1
where 4
which 4
whilst 1
who 4
with 3
within 1
word 1
worked 1
years 2
young 1
