6763696
/m/0gmqj1
/m/0gmqj1
Simon Scarrow
2006-06-19
{"/m/02p0szs": "Historical fiction", "/m/098tmk": "War novel", "/m/0hwxm": "Historical novel"}
176 2
a 9
among 3
an 2
and 5
angloirish 2
approximately 1
arthur 3
as 4
attack 1
baby 1
because 1
been 1
begins 1
birth 2
bonaparte 1
book 1
both 3
burn 1
by 1
cadet 2
called 1
conservatism 1
continues 1
corsican 2
couple 2
dependent 1
difficulties 1
down 1
encountering 1
ends 1
even 1
family 1
fighting 1
for 1
forms 1
french 1
frenchmen 1
gordon 1
hand 1
having 1
healthy 1
his 4
impoverished 1
in 2
inamorata 1
independence 1
innate 1
is 2
kitty 1
lack 1
lifestyle 1
mainland 1
maintaining 1
men 1
money 1
more 1
mounting 1
naboleone 3
napoleon 1
noblemen 1
now 1
of 7
officers 1
on 3
other 2
outside 1
outsider 1
pakenham 1
prerevolutionary 1
prospects 1
protestant 2
puny 1
quasinoble 1
quo 1
realization 1
result 1
riots 1
second 1
social 1
son 2
status 1
story 2
successful 1
thanks 1
that 1
the 11
their 1
third 1
those 1
to 4
toulon 1
training 1
turned 1
weak 1
wealthy 1
with 4
young 1
youths 1
