7945123
/m/026k_d7
/m/026k_d7
Lois Lowry
1980
a 2
adult 1
afraid 1
always 1
an 1
and 5
arms 1
at 1
autumn 1
be 1
behind 1
big 1
brown 1
but 3
called 1
charles 1
children 1
comforting 1
couldnt 1
cruel 1
dark 1
day 1
didnt 1
dumb 1
each 1
elizabeth 2
end 1
entered 1
enveloping 1
everything 1
father 1
fears 1
feisty 1
fight 1
finally 1
for 2
friendship 1
grandfather 1
grandson 1
grateful 1
held 1
her 6
house 1
ii 1
in 4
interpret 1
it 1
left 1
live 1
lonely 1
mean 1
name 1
needed 1
obscured 1
of 3
off 1
often 1
old 1
on 1
other 1
put 1
puzzling 1
reassurance 1
relished 1
risks 1
shadowy 1
she 4
snow 1
street 1
streetwise 1
strong 1
take 1
tatie 2
taught 1
terror 1
that 2
the 7
them 1
there 1
they 1
things 1
those 1
to 6
together 2
tried 1
two 1
waiting 1
war 1
was 3
went 2
were 1
when 3
which 2
who 2
with 1
woods 2
world 4
year 1
