2272360
/m/06_w5f
/m/06_w5f
René Goscinny
1963
a 13
accomplishments 1
after 2
agree 1
alexandria 2
an 2
and 13
antidote 1
any 1
arch 1
architect 1
are 3
argument 1
arrest 1
artfis 1
artifis 5
as 2
asterix 2
attempts 1
away 1
bad 1
be 4
beats 1
before 2
begins 1
belittles 1
berate 1
best 1
bet 1
between 1
book 1
bribes 1
build 2
building 1
builds 1
but 5
by 3
caesar 6
cake 1
catapults 1
caused 1
causing 1
claims 2
cleopatra 8
commanding 1
completed 2
construction 3
covered 1
covers 1
crocodiles 1
cures 1
damage 1
deliver 1
demand 1
desperation 1
despite 1
disguises 1
doesnt 1
dogmatix 3
due 1
eat 1
eating 1
edifis 8
effects 1
egypt 3
egyptian 1
enabling 1
enlists 1
fails 1
fight 1
find 1
fix 1
food 1
for 1
forced 1
forward 1
frame 1
frees 1
from 1
furious 1
gauls 7
get 1
getafix 5
gift 1
gives 2
giving 1
goes 1
gold 2
he 8
help 4
helps 1
henchman 2
her 1
hidden 1
him 6
himself 1
his 5
house 1
however 1
hurries 1
if 2
in 7
infuriated 1
inside 1
intervenes 1
is 3
it 1
julius 1
just 1
kidnapped 1
legions 2
less 1
library 1
lock 1
magic 6
makes 2
man 1
manuscripts 1
meal 1
months 1
much 1
multiple 1
needs 1
new 1
news 1
obelix 3
of 7
off 1
officer 1
on 4
out 1
palace 5
papyrus 1
people 1
poisoned 1
potion 5
proceeds 1
promises 1
promising 1
pyramid 1
pyramids 1
quarry 1
queen 1
realises 1
reconcile 1
required 1
reveal 1
rich 1
rival 1
roman 1
sabotage 1
sacred 1
sarcophagus 1
says 1
schedule 1
sees 1
sending 2
she 1
shell 1
site 1
slow 1
soldiers 1
some 1
spy 1
stomach 1
stonedelivery 1
successfully 1
summons 1
taster 1
tells 1
thanks 1
that 1
the 34
them 2
then 2
they 1
thinks 1
three 2
throw 1
time 2
to 24
together 1
too 1
tries 2
truth 1
try 1
up 1
wager 1
want 1
was 1
way 1
when 1
which 2
whipping 1
who 1
will 2
wins 1
with 5
within 1
without 2
work 2
worker 1
workers 2
worried 1
would 1
