2220261
/m/06wyp0
/m/06wyp0
Jacquelyn Mitchard
1996-06
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
7yearold 1
a 10
abducted 1
abduction 1
absolves 1
adoptive 2
advice 1
agrees 2
albeit 1
all 1
alone 1
along 1
alumna 1
american 1
an 2
and 17
any 1
are 1
as 2
asks 1
at 2
attending 1
away 2
bad 1
basketball 1
be 1
because 2
been 1
ben 14
beth 7
between 1
biological 2
birth 1
bliss 1
blocks 3
both 1
boy 4
breakdown 1
brief 1
brother 3
but 1
by 2
can 1
candy 1
cappadora 1
cappadoras 2
care 1
cecil 1
celebrity 1
chicago 2
child 1
children 1
committed 1
conflicting 1
conflicts 1
connect 1
contact 1
crowded 1
cryptic 1
cultural 3
cynicism 1
daughter 1
detective 1
does 1
emotional 1
end 1
equal 1
expresses 1
extended 1
faced 1
fact 1
family 3
father 4
feelings 1
for 4
force 1
from 1
frustration 1
game 1
george 1
go 1
goes 1
great 1
greek 1
greekamerican 1
grew 1
had 1
hand 1
has 2
have 1
having 1
he 8
her 7
high 1
him 3
his 12
hospital 1
hotel 1
house 1
housewife 1
husband 2
identity 3
if 1
in 8
infant 1
intellectual 1
intelligent 1
intense 1
into 1
is 6
it 2
italianamerican 1
karras 1
kerry 1
kidnapped 2
knew 1
known 1
later 1
lawn 2
learned 1
leaves 1
leaving 1
left 1
lets 1
live 1
lives 1
living 1
lobby 1
lockhart 1
lost 2
loving 1
many 1
may 1
memory 1
mental 2
moment 1
mowed 1
mows 1
much 1
named 1
needs 1
never 1
nine 3
not 3
novel 1
of 11
offer 1
often 1
older 2
one 1
oneonone 1
only 2
over 1
own 1
owner 1
parent 1
parenting 1
parents 3
participating 1
pat 3
personality 1
photographer 1
photographs 1
polite 1
pops 1
position 1
pretend 1
pride 1
problems 1
raised 3
really 1
rebellion 1
regained 1
relate 1
remain 1
remaining 1
renamed 1
require 1
responsibility 1
restaurant 1
return 1
reunion 2
rituals 1
robotically 1
sam 4
says 1
scars 1
school 1
sensitive 1
she 3
show 1
son 4
sons 1
still 2
suicidal 1
surrender 1
suspected 1
suspects 1
takes 2
teenage 1
teenaged 1
that 6
the 17
their 1
then 1
therapy 1
this 1
thus 1
to 18
torn 1
trace 1
true 1
two 5
unresolved 1
until 1
up 1
vanishes 1
vincent 4
wants 1
was 3
while 4
who 5
wife 1
wisconsin 1
wise 1
with 5
without 1
worlds 1
would 1
years 4
young 1
youngest 1
