5497401
/m/0dpgn7
/m/0dpgn7
Barbara Mertz
1992
a 6
abduction 1
abdullah 1
about 2
adbullah 1
add 1
adopted 1
adventure 1
affection 1
after 1
age 1
also 2
amelia 8
amnesia 1
an 1
and 10
annoyed 1
any 1
anything 1
appears 1
archaeological 1
artifacts 1
as 4
at 2
back 1
backyard 1
be 1
becomes 1
begin 1
beginning 1
but 3
by 1
captor 1
circle 1
civilization 1
clearing 1
complete 2
country 1
crocodile 1
crush 1
culture 1
cyrus 2
decides 2
demand 1
despite 1
determined 1
difficulty 1
do 1
doesnt 2
east 1
egypt 1
eitherand 1
else 1
emerson 7
emersons 2
england 3
english 1
entire 1
evelyn 1
expected 1
explanation 1
exploit 1
fall 1
fight 1
finally 1
finds 2
first 1
for 5
forthcoming 1
friends 1
from 1
get 1
girls 1
give 1
glady 1
going 1
harrowing 1
has 1
help 1
her 5
him 1
his 3
honeymoon 1
hopes 1
immaturity 1
imprisoned 1
in 6
information 1
integrated 1
into 1
is 6
it 1
just 2
kidnappedbut 1
kidnapper 1
know 1
learn 1
letters 1
life 1
look 1
lost 3
luxor 1
meanness 1
meanwhile 1
meroitic 1
met 1
mind 1
more 2
most 1
mother 1
needs 1
nefret 4
new 3
newly 1
no 2
not 2
oasis 2
obvious 1
of 9
on 3
one 1
or 1
out 2
peace 1
possibility 1
previous 1
professor 1
project 1
ramses 3
ransom 1
remember 1
return 1
returning 1
sail 1
sandbank 1
scene 1
scour 1
season 1
second 1
see 1
seem 1
she 4
shed 1
sign 1
site 1
so 1
stay 2
study 1
take 1
targeted 1
than 1
that 2
the 15
their 4
them 1
they 1
this 1
to 11
travels 1
treasures 1
try 1
turns 1
unfortunately 2
up 1
usual 1
vandergelt 1
victim 1
walter 1
wants 1
ward 1
ways 1
when 3
while 1
who 1
will 2
with 5
without 1
year 1
