19486073
/m/04n1k39
/m/04n1k39

2003-12-23
{"/m/03mfnf": "Young adult literature"}
a 6
also 1
an 1
and 2
as 1
at 1
benefactor 1
blonde 1
by 1
dan 2
diet 1
dog 1
dogs 1
eat 1
falls 1
food 1
for 2
fortune 1
from 4
girl 1
gone 1
grandson 1
has 1
he 1
her 3
his 1
inherits 1
investigates 1
is 2
jordan 2
keane 1
kidnap 1
lydia 1
man 1
morsels 1
mother 1
must 1
named 1
nell 3
new 1
of 3
old 1
owner 3
pi 1
piggy 6
protect 1
reincarnation 1
request 1
searches 1
secret 1
she 3
started 1
suffers 1
that 2
the 4
therapy 1
to 3
travis 2
villain 1
visited 1
wants 1
when 1
