26065296
/m/0b6dzdb
/m/0b6dzdb

2009-10-17
{"/m/05h83": "Non-fiction"}
1 1
10 1
11000 1
15 2
154 1
17 1
170s 1
188 1
2007 2
2050 1
34when 1
400 1
45 1
8 1
80 1
a 18
accepted 1
according 2
account 1
activist 1
after 2
against 1
age 1
agency 1
ahead 1
all 3
alleged 1
alleges 1
an 3
analysis 1
and 20
announcement 1
annual 1
another 1
appearance 1
appeared 1
are 2
as 8
asserting 1
assertion 1
assertions 1
assessment 2
at 2
avery 1
basis 1
battle 1
be 3
bear 1
bears 1
became 2
been 1
before 1
begins 2
begun 2
bert 2
body 1
bolin 2
book 2
booker 14
british 1
bush 1
by 8
came 1
caps 1
carbon 2
cause 2
century 2
certain 1
certainty 1
change 3
changed 1
changes 1
chapter 2
charged 1
claimed 1
climate 4
climatewere 1
coffin 1
commit 1
committee 1
concentration 1
concentrations 1
consensus 2
consequences 1
consists 1
contends 2
contents 1
contradicted 1
contrary 1
contrasts 1
contribution 1
convention 1
cool 1
cooling 1
cost 1
could 1
counterconsensus 1
countries 1
criticised 1
criticism 1
crucial 1
current 1
cuts 1
davis 1
de 1
dealt 1
deleted 1
deniers 1
dennis 1
depicting 1
describes 1
details 1
different 1
dioxide 2
disastrous 1
discernible 1
dismissed 1
dissent 1
down 1
draft 1
drawing 1
dream 1
driver 1
drowning 1
earth 3
easy 1
economic 1
effect 2
ehrlich 1
eigil 1
either 1
emerging 1
emissions 3
ends 1
energy 1
engaged 1
enough 1
entire 1
environment 1
environmental 1
epilogue 2
evidence 3
exaggerating 1
examines 1
examining 1
express 1
extremely 1
fact 1
familiar 1
fear 1
features 1
figures 1
film 1
final 1
first 1
for 6
form 2
found 1
fourth 1
framework 1
fred 1
frederick 1
friischristensen 1
from 6
future 1
gas 1
gives 1
glaciers 1
global 7
governmental 1
governments 2
graph 4
greenhouse 3
guggenheim 1
had 4
halving 1
hansen 2
have 2
he 5
heating 1
helping 1
henrik 1
his 1
history 1
hockey 1
how 2
however 1
human 2
ice 2
iconic 1
idea 1
identifying 1
image 1
imagining 1
in 22
including 1
inconvenient 1
influence 2
influencing 1
information 1
inhofe 1
intending 1
international 1
into 4
introduced 1
ipcc 6
irresponsible 1
is 2
is34 1
it 2
its 3
james 2
janeiro 1
june 1
key 2
kilimanjaro 1
known 1
knud 1
kyoto 1
lassen 1
last 1
late 1
lay 1
led 1
level 2
levels 1
lindzen 1
list 1
little 1
long 1
made 1
man 1
many 1
maurice 1
may 3
medieval 2
melting 1
methods 1
midsummer 1
minds 1
moment 1
more 1
nail 1
natural 1
nave 1
never 1
new 1
next 1
night 2
not 2
now 2
of 28
on 3
one 1
only 1
or 2
oscarwinning 1
our 1
out 1
output 1
over 2
part 3
particular 1
parts 1
paul 1
percent 1
period 2
play 1
points 1
polar 1
policy 1
politicians 1
possibly 1
postulate 1
potentially 1
prepared 1
presented 1
presents 1
problem 1
projections 1
protocol 1
published 1
question 1
questioning 1
queued 1
quite 2
quote 1
quotes 2
quoting 1
really 1
reduced 1
reduction 1
report 5
reportthe 1
research 1
resolve 1
resources 1
result 2
results 1
retreating 1
richard 1
rio 1
rises 1
rising 2
role 1
sar 2
save 1
scientific 2
scientifically 1
scientist 1
scientists 5
sea 1
second 1
secretary 1
sections 1
sees 1
seitz 1
senate 1
senator 1
serious 1
set 1
setting 2
shakespeare 1
shooting 1
shot 1
showing 1
sides 1
sign 1
signatory 1
signing 1
simply 1
singer 1
snows 1
solar 1
some 1
something 2
sometimes 1
stated 1
statement 1
states 1
statistical 1
stick 1
strong 1
strongest 1
subsequent 1
such 4
suddenly 2
summary 1
summit 1
sums 1
supposed 1
supposedly 1
supreme 1
svensmark 1
targets 1
teased 1
temperature 2
temperatures 2
terms 1
text 1
than 1
that 22
the 61
their 1
then 7
theory 1
theseus 1
they 1
thirds 1
this 5
those 1
three 2
thus 1
to 17
trillionequivalent 1
truth 1
twentieth 2
two 2
uk 1
un 1
unprecedented 1
unstoppable 1
up 6
us 3
use 1
vanished 1
variation 1
view 1
voluntary 1
warm 2
warming 6
was 8
washington 1
we 1
were 2
what 3
where 1
which 4
who 2
with 5
world 2
would 3
writes 2
year 1
years 1
