58619
/m/0g04v
/m/0g04v
Iain Banks
1984
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
12 1
a 11
about 1
acalvaria 1
accident 1
admits 1
afraid 1
after 2
age 1
almost 1
also 1
an 5
and 14
animals 1
are 2
array 1
arrested 1
as 3
asylum 1
at 4
attempting 1
back 1
badly 1
before 1
behind 1
being 2
believes 1
bodies 1
bombs 1
book 1
borders 1
box 1
boxes 1
brain 1
braindamaged 1
brother 4
brutalizing 1
burning 1
but 1
by 3
case 1
castrated 1
catapult 1
center 1
checks 1
child 2
chosen 1
clear 1
clock 1
confronting 1
confused 1
contact 1
control 1
conversations 1
crude 1
crushing 1
dayold 1
dearly 1
death 2
define 1
did 1
different 1
discovering 1
distance 1
dog 1
dogs 1
dressings 1
drove 1
drowning 1
drugs 1
drunk 1
due 1
dump 1
dwarf 1
each 1
early 1
encased 1
end 2
eric 7
escapes 1
events 1
example 1
experiment 1
exploding 1
exposed 1
extremely 1
face 1
fact 1
factory 1
father 5
feed 1
felt 1
female 2
find 1
finds 1
fits 1
flame 1
for 5
forward 1
frank 17
friend 1
from 5
full 1
future 1
genitalia 1
gets 1
glass 1
goes 1
had 2
hang 1
has 2
haunted 1
he 10
head 1
heads 1
her 1
him 1
himself 2
hints 1
his 13
hole 1
hormone 1
hormones 1
hospital 1
huge 1
if 1
imminent 1
impotence 1
in 11
incident 1
infested 1
inform 1
insane 1
into 2
invariably 1
is 10
island 4
it 5
items 1
jamie 1
killed 1
larger 1
leads 1
life 1
lives 1
local 2
long 1
looking 1
loss 1
loves 1
mad 1
maggots 1
maintaining 1
male 3
mauling 1
neglect 1
no 1
not 1
novel 2
numerals 1
occasionally 1
occupies 1
of 14
off 1
older 2
only 1
or 2
order 1
other 2
others 1
out 1
outside 1
particularly 1
patient 2
patrolling 1
phone 1
pipe 1
poles 1
precipitates 1
predicts 1
progress 1
protect 1
pub 1
pumped 1
puts 1
rage 1
realizes 1
remembers 1
resents 1
result 1
resulted 1
return 1
rings 1
ritual 1
rituals 1
ruined 1
runs 1
sacred 1
sacrifice 1
said 1
salvaged 1
seagulls 1
see 1
seeing 1
sensitive 1
series 1
she 1
simply 2
smiling 2
something 1
space 1
start 1
study 1
such 1
territory 1
than 1
that 9
the 31
their 1
there 2
they 1
thought 1
throughout 1
thrower 1
tissue 1
title 1
to 14
town 1
tragic 1
transition 1
trap 1
tubes 1
unresponsive 1
upon 2
urine 1
usuallyalert 1
volunteer 1
walks 1
was 4
wasp 3
weapons 1
what 1
when 1
where 1
whether 1
which 4
while 1
with 7
within 1
women 2
world 1
would 1
