2534854
/m/07lk9m
/m/07lk9m
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 4
after 2
all 1
and 7
apprentice 1
are 1
at 2
attacked 1
away 1
be 1
becomes 1
bounty 2
but 1
by 2
capture 1
captured 1
clear 1
coruscant 1
days 1
didi 4
fail 1
fight 1
forced 1
fourteenyearold 1
friend 1
from 1
going 1
he 1
him 1
his 2
hunter 2
investigations 1
is 2
it 2
jinn 1
kenobi 1
kill 1
learn 1
murderer 3
must 2
name 1
nobis 3
not 1
nothing 1
obiwan 3
of 3
ona 3
plot 1
quickly 1
quigon 4
sanctuary 1
sent 1
several 1
starts 1
stop 2
that 2
the 4
them 1
they 1
to 3
tries 1
unfortunately 1
was 1
when 1
will 1
