14153373
/m/03cw6gr
/m/03cw6gr
George Pelecanos
1996-06
133 1
14 1
144 1
146 2
148 1
15 1
a 15
africanamerican 1
after 3
aids 1
and 23
another 1
apartment 2
as 4
assault 1
at 1
attitude 1
back 1
baseball 1
bat 1
be 1
beat 1
beats 1
become 2
before 1
begins 1
being 1
believing 1
bender 2
betray 1
between 1
billy 1
book 3
boyle 6
boys 1
bring 1
brings 1
brothel 1
brother 1
burke 11
but 1
by 3
came 1
chef 1
childhood 1
children 1
coda 1
collect 1
commonlink 1
confronts 2
cop 1
correctly 1
costa 1
coverup 1
crime 1
dc 1
debt 1
decides 2
description 1
diner 2
disappears 1
disobeyed 1
dispatches 2
earns 1
eleni 1
ends 1
enforcer 1
enlists 1
eventually 1
extract 1
fails 1
fight 1
first 1
flashes 1
flippant 1
florek 5
fool 1
for 3
friend 1
friends 2
from 3
gearhart 7
gets 1
go 1
gotten 1
grave 1
gravely 1
greek 1
grievously 1
group 1
grudging 1
had 1
has 3
have 1
he 6
help 1
her 4
him 5
hires 1
his 11
home 1
hospital 1
how 1
ii 1
in 10
informs 2
injured 2
instructions 1
instructs 2
into 3
investigation 1
involved 1
involvement 1
is 5
jimmy 2
job 1
joe 1
jumps 1
junior 1
karras 21
kill 2
killed 1
killer 2
kills 1
last 1
learn 1
leave 1
lets 1
locates 1
lola 7
lure 1
lydia 1
madam 1
make 1
man 1
manages 1
many 1
married 1
men 2
mike 1
mission 1
morgan 1
moving 1
mr 1
murder 2
murdered 1
murderer 1
murderous 1
needs 1
next 2
nick 1
nicodemus 1
now 2
of 9
oliver 1
on 1
one 1
opens 1
opponent 1
organize 1
outfit 1
peripherally 1
peter 1
philippines 1
plot 1
pressure 1
promiscuous 1
prostitute 1
prostitutes 1
protection 2
punished 1
racket 1
reaches 1
realizes 1
recevo 7
reed 4
rescuing 1
resists 1
respect 1
retrieve 1
returned 1
returns 1
same 1
scheme 1
search 2
sees 1
serial 1
set 1
sets 1
several 1
shoot 1
shot 1
stand 1
stefanos 5
story 1
struggle 1
superior 1
suspects 2
takes 1
targets 1
tells 1
tendencies 1
that 3
the 20
theatre 1
their 1
them 1
there 1
they 1
through 1
to 19
together 1
town 1
trap 1
two 1
up 1
upsets 1
visiting 1
war 1
washington 1
we 1
weapon 1
when 4
who 2
with 4
witnesses 1
working 1
world 1
wounded 1
