6135059
/m/0fr_yk
/m/0fr_yk
Christopher Noxon
2006-06
a 2
about 1
according 1
adults 2
also 1
always 1
and 5
aside 1
bad 1
behave 1
book 2
childish 1
childlike 1
collect 1
collection 1
disney 1
do 1
dodgeball 1
found 1
from 1
go 1
have 1
in 1
is 3
isnt 1
kids 1
lead 1
like 1
likeminded 1
lives 1
loved 1
many 1
necco 1
necessarily 1
noxon 1
of 2
on 1
opinion 1
play 1
productive 1
rejuvenile 1
rejuveniles 1
resort 1
responsible 1
skateboarding 1
stories 1
that 1
the 3
theyve 1
thing 1
things 2
think 1
this 1
tintin 1
to 5
tossing 1
toys 1
wafers 1
walt 1
ways 2
weekends 1
who 2
without 2
world 1
