5182671
/m/0d6p1g
/m/0d6p1g
Giovanni Boccaccio

a 11
abandon 1
achilles 1
act 1
affections 1
again 1
agrees 1
almost 1
alone 1
and 7
antenor 1
appointment 1
are 1
argues 1
as 2
attending 1
attention 1
attract 1
battle 2
battles 1
before 1
belonged 1
boar 1
brother 1
but 6
by 3
calcas 2
calls 1
city 2
clasp 1
close 1
clothes 1
confirmed 1
consequences 1
continuing 1
cousin 1
cressida 2
criseida 8
daughter 1
days 1
defection 1
defobo 1
deiphobus 1
despite 1
diomede 1
diomedes 4
distressing 1
dream 1
dreams 1
during 1
each 1
efforts 1
elopement 1
ended 1
eventually 2
excelling 1
exchange 2
fall 1
falls 2
father 1
fears 1
feelings 1
festival 1
fight 1
finding 1
finds 1
for 2
foreseen 1
friend 1
from 2
garment 1
glances 1
gobetween 1
goes 1
greek 2
greeks 2
guesses 1
hand 1
has 4
he 7
hector 1
help 1
her 6
hero 1
him 5
his 6
honour 1
hostage 2
imagination 1
immediately 1
in 9
infuriated 1
instead 2
interprets 1
into 1
is 5
joined 1
kill 1
killing 1
letters 1
life 1
looks 1
love 3
lovelorn 1
lovers 2
manage 1
many 1
mean 1
meanwhile 1
meet 2
men 2
misses 1
mourning 1
never 1
no 1
not 1
of 8
on 2
other 2
out 2
palladium 1
pandaro 3
pandarus 2
parting 1
persuades 2
pretend 1
promises 1
prophet 1
propose 1
protect 1
protected 1
reason 1
recognises 1
returns 1
rightly 1
seduces 1
seek 1
sees 4
sends 1
senses 1
she 3
should 2
sign 1
similar 1
snatched 1
something 1
suffering 1
suggests 1
supervising 1
switched 1
symbol 1
tears 1
ten 1
that 6
the 21
this 2
thousand 1
time 1
times 1
to 10
troilo 12
trojan 1
troy 2
truce 1
truth 1
two 2
when 2
which 1
who 1
widow 1
wins 1
with 5
worse 1
young 2
