9256345
/m/0281wvh
/m/0281wvh
Fredy Perlman
1976
{"/m/02ql9": "Epistolary novel"}
a 2
about 1
after 2
and 3
are 1
begin 1
between 1
complex 1
contact 1
each 1
eastern 1
escapes 1
european 1
experiences 1
failed 1
fictional 1
form 1
hopes 1
in 1
is 1
jails 1
letters 1
lives 1
memories 1
nachalo 1
narrative 1
novel 1
of 2
other 1
past 1
revolution 1
separated 1
sophie 2
spends 1
statist 1
subtle 1
takes 1
the 4
their 4
they 1
to 2
twelve 1
twenty 1
two 1
vochek 1
west 1
which 1
while 1
who 1
without 1
workers 1
write 1
yarostan 2
years 2
