1833625
/m/05_m0c
/m/05_m0c
Michael Crichton
1975-05
{"/m/0lsxr": "Crime Fiction", "/m/06n90": "Science Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel", "/m/0c3351": "Suspense"}
17 1
1854 1
1855 1
1857 1
1858 1
22nd 1
a 32
able 2
about 1
accomplice 1
acquainted 1
across 1
actual 1
advantage 1
affluent 1
after 6
agar 9
age 1
agents 1
ailment 1
all 2
alleged 1
allowing 1
along 1
although 2
always 1
an 3
and 28
another 1
appears 2
apprehended 1
are 7
around 1
arrested 2
as 7
asks 1
assignation 1
assistance 2
assists 1
at 9
attempt 2
attention 2
australia 2
away 1
back 1
baggage 2
bank 3
barlow 2
basement 1
be 2
becomes 1
becoming 1
bedside 1
been 1
before 2
begins 1
being 5
betting 1
blaming 1
blood 1
bold 1
break 1
bribing 1
bridge 1
buildings 1
bungled 1
burgess 4
burglar 1
but 4
by 8
cab 1
cabinet 1
can 1
careful 1
carries 1
causes 1
cellar 1
charging 1
charismatic 1
chest 1
cholera 1
cities 1
clean 2
clear 1
climbing 1
clues 1
coffin 1
completing 1
compromised 1
confesses 1
consent 1
contacts 1
containing 1
contracted 1
conversations 1
convicted 1
copied 1
copies 2
copy 4
copying 1
correctly 1
court 2
cracksman 1
cramped 1
crimean 1
criminals 2
crucial 1
crushers 1
culprits 1
currently 1
danger 1
daring 1
daughter 1
day 1
decides 1
deduces 1
delay 1
deliberately 1
detection 1
development 1
develops 1
dies 3
difficult 2
disappears 1
discovery 2
distracted 1
divert 1
dogs 1
door 1
doors 1
driver 1
drop 1
drunk 1
dry 1
during 4
each 3
eastern 1
easy 1
edgar 3
edward 2
elizabeth 2
embarrassment 1
employees 1
enforcement 1
england 1
enormous 1
ensure 1
escape 3
escaping 1
eve 1
event 1
every 1
everything 1
exact 1
execution 1
executives 1
exorbitant 1
eye 1
faces 1
fairly 1
fear 1
february 1
feigns 1
few 2
finally 1
find 1
first 2
for 4
forces 1
foreign 1
former 1
four 2
fowler 5
free 1
from 11
front 1
further 1
gold 5
great 2
greenwich 1
guard 2
guineas 1
habits 1
had 2
hand 1
has 5
have 3
he 8
health 1
heavy 1
held 1
henry 3
highsecurity 1
him 3
his 9
hiv 1
home 1
hundred 1
imprisonment 1
in 22
incarcerated 1
including 1
indeed 1
indicate 1
informant 3
information 3
injuries 1
inside 2
interest 1
into 2
involved 1
involving 1
is 15
journey 1
keen 1
kept 1
key 7
keys 8
killing 1
largely 1
law 1
leads 1
learn 2
learning 1
leaves 1
leaving 1
legal 1
life 1
likely 1
lives 1
living 1
located 1
location 1
locations 1
locked 2
locking 1
locks 1
london 2
long 1
loses 1
luxury 1
major 1
make 2
makes 1
making 2
man 2
manage 1
manages 5
manchester 1
manipulation 1
mansion 2
master 1
may 1
measures 1
medical 1
message 1
miriam 2
mistress 3
monthly 1
more 2
most 3
moving 1
mr 6
much 2
murdered 1
necessary 1
neck 1
never 1
new 2
newgate 2
next 1
nicknamed 1
night 3
no 2
nose 1
now 2
nursing 1
obstacles 1
occurs 1
of 27
off 2
offices 1
old 1
on 8
one 1
only 1
open 1
opportunity 1
or 3
organization 1
other 2
out 1
outside 3
painstaking 2
paris 1
passes 1
perfectly 1
perform 1
pickpocketing 1
pierce 16
plan 2
planned 1
plans 4
pleasure 1
point 1
police 4
policemen 1
policy 1
poorlypaid 1
possess 1
possessing 1
pounds 1
prearranged 1
precautions 1
preparation 1
presence 1
presumably 1
price 1
prior 1
prison 4
prizefighting 1
procure 2
prosper 1
public 3
railway 3
rats 1
ratting 1
received 1
recovered 1
recruit 1
recruits 1
remedy 1
reports 1
requires 1
requiring 1
rest 1
reveal 1
rides 1
risks 1
robbery 5
robbing 1
robert 1
romantic 1
roof 1
run 1
safes 2
screwsman 1
search 1
seconds 1
security 1
seek 2
sends 1
sentenced 1
seriously 1
shipment 2
short 1
similar 1
sleeping 1
slip 1
small 1
smoothly 1
smuggle 1
snakesman 1
social 1
south 1
spaces 1
spare 1
specialist 1
spend 1
spends 1
sport 1
station 3
steal 1
steps 1
still 1
strict 1
strike 1
succeed 1
succeeded 1
succeeds 1
success 1
successfully 2
such 1
suitors 1
superstitions 1
sure 1
surveillance 1
syphilis 2
table 1
take 2
taken 1
takes 1
target 1
task 1
term 2
than 2
that 5
the 74
theft 2
their 5
them 2
themselves 1
then 2
thief 1
thieves 1
though 1
thousand 1
threatened 1
three 1
through 4
thus 2
time 1
to 38
total 1
train 8
transportation 1
transported 3
trent 10
true 1
turns 1
twelve 2
twelveyearold 1
twentynine 1
two 5
ultimately 1
unable 1
unexpected 1
unknown 1
unlocking 1
unwilling 2
upon 1
uproar 1
uses 1
van 2
vanished 1
various 1
virgin 1
visiting 1
war 1
wax 2
wealth 1
wealthy 1
when 1
which 3
while 5
who 6
willy 5
wine 1
with 10
work 1
worth 1
wouldbe 1
year 2
york 1
