1088216
/m/044y1d
/m/044y1d
Brian Jacques
1997
a 12
abbess 1
abbey 5
about 1
advises 1
after 2
against 2
all 2
allies 1
along 1
also 1
alternate 1
an 1
ancient 1
and 13
appears 2
are 2
army 2
as 3
at 7
attack 2
baby 1
back 1
badger 3
battle 4
be 5
beautiful 1
been 1
believe 1
believes 1
below 1
best 1
blinding 1
bloodwrath 1
brings 1
broken 1
brought 1
but 4
butty 2
buying 1
by 5
byral 2
camp 2
can 1
castle 1
commander 1
commands 1
company 1
control 1
cornspurrey 1
craklyn 1
creatures 1
cregga 4
crew 1
crucial 1
damug 7
de 2
death 1
defenders 1
denizens 1
determine 1
diggum 1
direct 1
directed 1
directly 1
discover 1
disguised 1
divinia 1
do 2
down 3
dreams 1
during 2
dying 1
easier 1
effort 1
encounter 1
end 1
eventually 2
eyes 3
family 1
father 1
fear 1
ferrets 1
fformelo 2
fight 1
find 3
fleetclaw 1
for 2
foremole 1
fought 1
friar 2
friend 1
from 2
gatekeeper 1
gathered 1
giygas 1
go 1
goes 1
gormad 1
grang 2
greeneyes 1
gromal 1
ground 1
hacks 1
hardwood 1
hare 3
hares 3
harrowing 1
has 2
have 1
he 4
healer 1
hear 1
her 4
him 3
his 4
honor 1
hoping 1
horde 1
hordes 1
however 1
husband 1
in 7
inform 1
inhabitants 1
inland 1
instead 1
instructing 1
into 2
investigate 1
is 9
it 3
job 1
join 1
journey 1
journeys 1
killed 2
kills 1
knock 1
kotir 3
lady 1
later 1
leader 1
leave 1
leaving 1
lives 1
long 6
longdead 1
longs 1
lord 1
lords 1
losing 1
lost 1
making 1
manycoats 1
marries 1
martin 1
meanwhile 2
medals 1
meet 1
melted 1
mem 1
midge 3
might 1
moles 1
mortal 1
mother 2
move 1
mysteriously 1
named 2
never 1
new 2
night 2
nodrey 1
not 2
number 1
occur 1
of 19
off 1
on 2
one 2
only 1
open 1
or 1
out 2
over 1
part 2
pasque 1
patrol 6
place 1
point 1
posed 1
possessed 1
precious 1
prepare 1
prepares 1
process 1
rapscallion 1
rapscallions 3
rat 2
rebuild 1
recorder 1
redwall 3
redwallers 2
remains 1
rest 1
reveals 1
ridge 3
rockjaw 2
rose 2
ruler 1
russa 4
russano 2
salamandastron 5
saving 1
seems 1
seer 1
seizes 1
set 1
shad 1
she 1
sinking 1
skulka 1
son 1
sons 1
south 1
spirit 1
squirrel 1
stick 1
storm 1
strangles 1
suggests 1
takes 1
tamello 1
tammo 4
tansy 1
that 4
the 68
their 1
themselves 1
then 1
they 5
thing 1
thousand 2
threat 1
through 1
time 2
to 24
too 1
travels 1
treachery 1
treasure 2
tree 1
tunn 2
turn 1
turns 1
tussock 3
two 2
up 2
valerian 1
verdauga 1
vermin 2
victorious 1
vulnerable 1
wall 4
wandering 1
warfang 1
warrior 1
way 1
weapon 1
well 1
when 2
where 1
which 2
who 4
will 3
win 1
wishes 1
with 5
wounds 1
young 2
