19147304
/m/0bmjc2n
/m/0bmjc2n
Dennis Lehane
1998
a 12
about 4
abused 1
abusive 1
act 1
after 2
against 1
alone 1
along 2
amanda 9
an 3
and 25
angie 10
another 1
apparent 1
apparently 1
are 2
argue 1
arrive 1
as 2
at 5
authorities 1
away 1
baby 1
bar 2
based 1
battle 1
be 1
beach 2
become 1
been 5
before 1
begin 1
begs 1
behest 1
benefit 1
birth 1
boston 1
boyfriend 1
breaks 1
brother 1
broussard 1
buia 1
burglars 1
but 1
by 1
calling 1
can 1
captain 3
care 2
caring 1
casa 1
case 3
chase 1
cheese 2
child 1
children 2
come 1
competent 1
concerned 1
conclude 1
conclusion 1
confesses 1
confused 1
cops 1
couple 1
course 1
cover 1
crack 1
crimes 1
darkness 1
daughter 3
dealer 1
death 1
degenerate 1
demand 1
despite 1
didnt 1
disappearance 3
disappointed 1
discover 2
discovers 1
disguised 1
disinterested 1
dive 1
doll 1
dollars 1
drowned 1
drug 1
during 1
even 1
family 1
favorite 1
featured 1
file 1
finally 1
finds 1
first 1
for 8
found 1
from 4
gangsters 1
gennaro 1
get 1
getting 1
girl 3
gives 1
go 1
gone 1
gun 1
had 10
happy 1
has 3
have 1
he 5
helene 8
her 10
him 1
hired 1
his 1
hold 1
home 1
homes 1
hours 2
house 1
important 1
imprisoned 1
in 12
incident 1
infant 1
informing 1
insisting 1
into 1
investigating 1
investigation 1
investigators 1
irresponsible 1
is 2
it 1
itla 1
kenzie 1
kidnappers 1
kidnapping 2
kill 1
known 1
later 1
learned 1
learns 1
leaves 1
left 2
life 1
likely 1
lionel 7
little 1
local 2
look 1
lovers 1
loving 1
malnourished 1
mccready 2
meet 1
meeting 1
meetup 1
men 1
might 1
missing 1
money 1
more 1
mortally 1
most 1
mother 1
neglectful 4
news 2
nick 1
niece 1
not 1
of 12
off 1
officers 1
often 1
on 3
orchestrated 1
order 1
out 1
own 2
parent 1
parenting 2
parents 2
part 1
partied 1
patrick 12
perhaps 1
persons 1
place 1
placed 1
pleading 1
police 2
poole 4
possible 1
previously 1
private 2
prominently 1
proper 1
public 1
publicity 1
quarries 1
quarry 2
questioning 1
quickly 2
quincy 1
raftopoulous 1
ransom 2
ray 1
receive 1
reluctance 1
remy 8
report 1
responsible 1
resulting 2
return 1
reveal 1
ring 1
seeming 1
seems 1
several 3
she 4
skinny 1
small 1
so 1
stage 1
stole 1
stories 1
story 1
sunburn 1
svgone 1
take 2
taken 3
terrible 1
that 9
the 35
their 1
them 1
then 1
they 6
thousand 1
thrown 1
time 1
to 6
took 1
uncle 1
under 1
unit 1
unsupervised 1
up 1
was 1
water 1
welfare 1
well 1
were 1
where 2
whereabouts 1
which 1
while 3
who 3
whole 1
whose 1
will 1
with 6
woman 1
worked 1
working 3
wounds 1
