8349572
/m/0270c5r
/m/0270c5r
Sophia McDougall
2005
a 6
ability 1
abolish 1
about 2
accused 1
activist 1
after 1
agree 1
agrees 1
alive 1
ally 1
ambition 1
an 1
and 12
antislavery 1
any 1
apparent 1
apparently 1
appears 1
are 1
arranges 1
arrested 1
as 7
asylum 1
attending 1
away 1
be 2
been 2
being 1
british 1
brother 1
but 2
by 5
capture 1
captured 1
concerned 1
confess 1
confessed 1
conspiracy 3
conspirators 3
cousin 1
crucifixion 1
current 1
death 1
decides 1
delir 1
despite 1
dies 1
discovering 1
each 1
eats 1
emperor 4
evading 1
exculpate 1
fact 1
falsely 1
family 1
father 2
fathers 1
faustus 3
find 1
flee 1
follow 1
for 1
force 1
from 3
funeral 1
gaul 1
given 1
go 1
hallucinogen 1
happening 1
has 4
have 1
he 4
heir 1
held 1
help 1
her 1
hereditary 1
herself 1
hidden 1
him 10
himself 3
his 7
hospital 1
however 1
imperial 1
in 9
including 1
informed 1
initial 1
injected 1
innocence 1
involvement 1
is 7
it 1
keep 1
kill 2
leo 4
location 1
lucius 1
mad 1
madness 1
makaria 2
make 1
making 1
manage 1
manages 1
many 1
marcus 12
meanwhile 1
meet 1
minds 1
mother 1
murder 2
murdered 1
murdering 1
named 1
nephew 1
novius 1
of 10
one 1
onto 1
other 2
parents 3
past 1
planning 1
plot 1
poisoning 1
pouring 1
prevent 1
promptly 1
public 1
rape 1
read 1
refuge 4
rescue 1
rescues 1
reveal 3
revealing 2
reveals 1
rome 3
run 1
runaway 1
runaways 1
runs 1
seclusion 1
secret 1
secretary 1
sent 1
sentenced 1
since 1
slave 1
slavery 1
slaves 1
so 2
soldiers 1
spain 1
still 1
succeeds 1
succumbed 1
sulien 2
suspicion 2
sweets 1
taken 2
teenage 1
that 3
the 25
there 1
thereafter 1
they 1
this 1
three 1
time 1
to 30
travel 1
travels 1
truth 1
tulliola 1
una 2
unable 2
uncle 1
upon 1
varius 6
well 3
were 1
when 1
where 1
while 1
who 2
wife 2
will 1
with 1
