6529045
/m/0g90w9
/m/0g90w9
Timothy Zahn
1999-08-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 32
aboard 3
about 2
accepts 1
accident 2
accompany 1
acquaintance 1
acquainted 1
activities 1
actually 1
advanced 1
agent 1
alexander 1
alien 6
aliens 1
all 3
also 1
an 6
and 25
antoniewicz 6
any 1
archaeological 1
are 10
area 1
arno 3
arrival 1
arthur 4
as 4
assaulted 1
assigned 1
at 5
attack 1
attempts 2
back 2
background 1
bait 1
be 1
becomes 2
been 6
before 1
begins 1
being 3
believe 2
believing 1
benefactor 1
between 1
beyscrim 3
bizarre 1
board 1
book 1
borodin 1
boss 1
both 1
break 1
bring 2
brother 2
brought 1
but 1
by 11
call 1
called 2
cameron 10
can 1
captured 1
cargo 3
carry 1
carrying 3
celebrating 1
chemical 1
coming 1
commando 1
complete 1
complication 1
computer 1
concludes 1
confronted 2
contact 2
continue 1
convinced 1
core 1
could 1
cover 1
crew 5
crewers 2
crewmember 1
crewmembers 1
crewmen 1
crime 1
current 1
daughter 1
deal 1
decide 1
decided 1
decides 1
deep 1
delivered 1
delivering 1
dependency 1
device 1
dig 1
discover 1
discovers 1
disease 1
dismantling 1
doom 1
dorscind 1
due 1
during 1
each 1
earth 4
economic 1
empire 1
employer 1
end 3
engineered 1
escapes 1
evades 1
everett 1
exchange 1
exploring 1
extort 1
eye 1
fact 1
false 1
famous 1
far 1
faster 1
fatal 1
few 1
find 1
for 7
force 1
forced 2
from 4
fuel 1
galaxy 1
get 2
gives 1
goahead 1
good 1
had 11
hands 1
have 2
he 18
hed 1
help 1
hidden 1
him 12
himself 2
his 8
hithertotheoretical 1
hours 1
however 3
hulls 1
hunted 2
icarus 19
if 1
important 2
in 8
incidents 2
industrialist 1
industry 1
infiltrate 1
inform 1
information 2
informed 2
inner 1
inside 1
instead 4
instructs 1
intelligence 1
intending 2
intends 1
interior 1
interstellarteleportation 1
into 2
involves 1
is 18
isnt 1
isolated 1
it 4
its 2
itself 1
ixil 6
job 3
john 2
jordan 1
jumped 1
jumping 1
kalixiri 2
keeping 1
killed 1
knowledge 1
landing 2
lands 1
last 1
later 1
leading 1
leads 2
line 1
longer 1
lord 1
loyal 1
main 1
make 2
makes 1
man 1
maneuver 1
maneuvered 1
mckell 16
meima 3
member 1
members 1
merely 1
military 1
minute 1
money 1
more 2
morsh 1
most 1
mr 1
name 1
named 1
nearby 1
nearmonopoly 1
neurological 1
nicknamed 1
no 1
not 3
now 1
occurrences 1
of 25
off 1
offered 1
old 1
on 13
one 4
operation 1
orders 1
organization 1
originally 1
other 4
out 4
outer 1
outrunning 1
outside 1
pair 1
palmary 1
partner 1
patth 6
pick 2
pilot 2
pilots 1
planet 7
planned 1
plans 2
plot 2
pon 1
possibly 1
prior 1
race 2
ragtag 1
rare 1
realizes 1
recentlydiscovered 1
recognizes 1
recognizing 1
refuge 1
related 1
reluctant 1
remain 1
requests 1
requires 1
rescue 1
rescued 1
research 1
rest 1
revealed 1
reveals 1
reward 1
sabotage 2
saboteur 1
say 1
scattered 1
sealed 1
secondary 1
sent 1
series 1
set 1
several 1
shadowy 1
ship 8
shipping 1
situation 1
smuggler 1
smugglers 1
smuggling 1
some 1
something 1
sometimearchaeologist 1
species 1
spell 1
stardrive 6
stardrives 1
stargate 2
stops 3
storage 1
strange 1
strangers 1
stuck 1
successfully 1
superior 1
supposed 2
suspicious 1
take 2
taking 1
tech 1
tells 1
temporarily 1
temporary 1
tera 1
than 2
that 17
the 63
their 4
them 2
then 2
theorize 1
there 4
they 8
thinks 1
this 2
those 1
thread 1
through 2
thwarted 1
times 1
to 39
trouble 1
turning 1
unable 1
uncle 4
uncovered 1
under 2
unexpectedly 1
unique 1
up 2
using 1
utheno 1
value 1
very 1
voyage 2
waiting 1
want 1
wants 1
wary 1
was 2
were 1
whatever 1
when 1
whereabouts 1
which 4
while 4
who 5
whom 2
with 7
without 1
world 1
xathru 4
