9204350
/m/02805m1
/m/02805m1
Anthony Horowitz
2003-01-06
{"/m/0dwly": "Children's literature", "/m/0707q": "Short story"}
1000 1
1st 8
a 20
about 1
accuses 2
admits 1
agree 1
all 5
along 1
also 1
always 3
an 6
anagran 1
and 22
apologizes 1
appropriately 1
are 1
arrives 1
arriving 1
as 3
at 3
attends 1
back 5
bar 1
be 1
because 1
becomes 1
bed 1
been 3
before 1
begin 1
being 1
beneath 1
binns 1
blake 2
blunderbuss 1
boat 2
both 1
bottom 1
brenda 4
broke 1
brothers 2
bush 2
but 6
by 12
came 2
canel 1
cant 1
captain 2
caught 1
causes 1
chemistry 1
chocolate 1
claims 2
classmate 1
classmates 2
cliff 2
cliffs 1
coast 1
collapse 1
come 2
conker 1
crimes 1
crocodile 2
crushed 1
cunning 1
cut 1
cyanidelaced 1
day 3
days 1
dead 2
diamond 2
die 1
discover 1
disliked 1
distrust 1
divided 1
down 2
draper 4
due 1
during 2
each 3
edge 1
eiffel 2
eric 6
everybody 1
except 1
explaining 1
explosion 1
fact 1
falls 1
few 1
find 2
finds 1
fingers 1
first 1
five 1
floor 1
for 5
forgives 1
french 2
friend 1
from 1
full 1
geography 1
globe 2
go 1
goes 1
goldman 2
gone 2
gorse 2
group 2
guests 1
had 2
hall 1
has 1
hate 1
have 3
having 1
he 12
head 1
heavy 1
hell 1
her 1
high 1
him 8
himself 1
his 8
history 1
hit 1
hits 1
horatio 1
horrified 1
hospital 1
house 1
icon 1
if 1
impaled 2
in 25
interviews 1
into 1
invites 2
is 12
island 4
it 5
janet 3
javelin 2
job 1
johnny 5
just 2
kill 2
killed 4
killer 2
last 1
later 2
left 1
less 1
letter 1
libby 3
lies 1
life 2
lights 1
long 1
mainland 1
manages 1
mark 4
mask 1
maths 1
mcdougal 1
means 1
medal 2
meet 1
middle 1
millionaire 1
missing 2
mobile 1
model 2
moments 1
months 1
motive 1
murder 1
murderer 1
murders 1
music 1
mystery 1
nadler 3
named 1
needles 3
needlework 1
next 1
nick 10
night 2
no 1
not 1
of 13
off 1
old 3
oldfashioned 1
on 8
once 1
one 1
organ 2
originally 1
other 4
out 4
outside 3
over 1
paranoid 2
patents 1
people 1
perpetrator 1
person 1
phones 2
pick 1
pieces 1
pipe 2
pistol 2
place 2
pointed 1
points 1
poisoned 2
police 1
pollution 1
popular 1
proceed 1
promising 1
pull 1
radioed 1
randle 3
receives 1
remaining 1
remote 1
returning 1
reunion 1
revealed 1
rhodes 2
rock 2
rolls 1
room 2
rory 3
runs 1
sail 1
same 1
says 2
school 6
scotland 1
search 1
second 4
seen 1
sees 1
set 1
sharply 1
she 1
ship 1
shot 3
should 1
shows 1
signal 1
silver 2
sit 1
six 1
skull 1
small 1
smoking 1
so 1
spend 1
sport 1
stabbed 2
stay 1
students 1
subject 2
subjects 1
suddenly 1
survived 2
suspecting 1
sword 1
sylvie 3
taken 1
term 1
that 6
the 52
them 1
then 4
there 1
they 6
thought 1
three 2
thrown 1
tied 1
tim 10
time 3
to 16
towards 2
tower 2
traces 1
trapped 1
traps 1
tyler 2
up 3
upon 1
uses 1
was 12
watch 1
way 1
week 1
well 1
when 2
where 1
which 1
who 4
with 7
works 1
