1974965
/m/06b7hx
/m/06b7hx
Carl Hiaasen
2002-01
{"/m/0lsxr": "Crime Fiction"}
46 1
47th 1
a 30
about 4
absence 1
accident 1
actual 1
admits 1
advertisements 1
after 4
again 1
age 2
aged 1
agrees 1
ailing 1
airboat 1
aka 1
alarmed 1
album 5
all 2
ally 1
also 1
ambition 1
an 6
and 28
angeles 1
anne 3
annes 1
another 2
anything 1
apartment 3
are 2
area 1
arrested 1
as 3
at 8
attacks 1
autopsied 1
autopsy 2
back 6
baffled 1
bahamas 1
band 1
bass 1
be 2
beat 1
beaten 1
because 1
become 1
becomes 1
been 2
before 4
best 1
better 1
birthday 1
blood 1
boat 2
body 4
bodyguard 3
bottom 1
bought 1
boyfriend 1
bradley 1
breaks 1
broke 1
burglar 2
buried 1
burns 2
business 1
but 8
buy 1
by 3
byline 1
california 1
call 1
calls 2
can 3
candilla 1
cant 1
card 1
careful 1
carla 2
carpet 1
catches 1
causing 1
ceo 1
claims 1
cleo 8
cleos 3
climactic 1
climb 1
club 1
coffins 1
comeback 1
comes 1
companies 1
company 2
concealed 1
condominium 1
confesses 2
confrontation 1
contains 1
convicted 1
convince 1
copy 1
corpse 2
cost 1
covering 1
cowritten 1
cremated 2
cruel 1
current 1
cutting 1
daughter 1
day 2
days 1
dead 1
death 4
deceased 1
decide 1
decrypts 1
deferential 1
demands 1
demoted 2
depressed 1
depth 1
desperate 2
detectives 1
devoted 1
died 3
dies 1
disappeared 1
disappears 2
dive 1
diving 2
done 1
down 2
drive 2
driving 1
drown 1
drugged 1
during 1
each 1
editor 1
editors 1
emma 10
employed 1
ends 2
especially 1
exchange 1
excited 1
excitedly 1
exhumed 1
expecting 1
external 1
fact 1
fades 1
false 1
family 1
famous 1
fatal 1
fate 1
father 1
fathers 1
favorite 1
feud 1
few 2
fewer 1
fictitious 1
find 2
finds 4
finger 1
flashed 1
flies 1
florida 1
focuses 1
for 9
foreign 1
former 3
fortysix 1
found 1
freezer 1
friend 2
from 8
front 2
frozen 1
funeral 2
furious 1
gathering 1
gets 1
getting 1
girlfriend 1
gives 1
glory 1
goes 1
goons 1
grave 1
hack 1
happy 1
hard 2
has 5
hasbeen 1
have 1
he 13
hear 1
heart 1
heavily 1
help 1
her 12
herself 2
hes 1
him 12
himself 1
his 20
hit 2
holds 1
home 3
hostile 1
hours 1
house 1
however 1
humiliation 1
if 2
iii 2
impossible 1
in 13
increase 1
industry 1
initiate 1
inside 1
instead 1
instructions 1
insulted 1
insulting 1
interests 1
interviewed 1
interviews 2
into 2
investigate 2
investigative 1
is 21
it 5
its 2
jack 33
jacks 6
james 1
janet 3
jay 4
jimmy 11
jimmys 10
job 1
journalism 1
juan 2
keeps 1
keyboardist 1
kidnaps 1
kill 1
killed 3
lacking 1
lake 1
large 1
later 3
lead 1
leave 1
less 1
let 1
lied 1
life 1
like 1
listening 1
listens 1
lizard 1
long 1
looking 1
loreal 2
los 1
lying 1
macarthur 1
made 1
maggad 8
maggads 2
man 3
mans 1
married 1
master 3
maximum 1
meaning 1
meet 1
meeting 2
monitor 1
morbidly 1
more 2
most 1
mother 1
motive 1
much 1
murder 2
murdered 2
music 2
my 1
name 1
names 1
negroponte 1
new 3
news 2
newspaper 3
newspapers 2
night 4
no 1
not 1
notice 1
novel 1
novelist 1
now 1
number 1
obituaries 1
obituary 4
obsessed 1
obsesses 1
obsessions 1
obvious 2
of 21
off 1
official 1
okeechobee 1
old 1
on 11
one 3
ongoing 1
only 1
onto 2
out 2
outside 1
own 2
owns 1
page 3
pair 1
paper 2
parked 1
partner 2
pass 1
patch 1
pathologist 1
people 1
performed 1
player 1
plugs 1
police 1
policy 1
polk 3
polks 2
pop 1
position 1
possible 1
posthumous 1
power 1
producer 1
profits 1
promoted 1
prove 1
pubic 1
publicly 1
publiclytraded 1
publisher 2
publishing 1
puppies 2
puppy 1
put 1
puts 1
quit 1
race 2
record 1
recordings 1
refuses 1
relents 1
reluctantly 1
reporter 1
reporters 1
reporting 1
request 1
rescue 1
rescues 1
restores 1
results 1
resurfaces 1
rio 1
rock 1
rodriguez 1
rumor 1
sails 1
same 1
savannah 1
saying 1
says 1
scene 1
scuba 1
search 1
searching 1
see 1
seeing 1
sees 1
sells 1
sends 1
sex 1
shareholders 1
shares 2
she 12
shipwrecked 1
shot 1
show 1
sight 2
since 1
singer 1
sister 1
skipped 1
slut 3
small 1
some 1
something 1
song 4
south 1
space 1
spends 1
sports 1
spy 1
stage 1
state 1
stay 1
stiff 1
still 2
stock 1
stoma 1
stomarti 1
stoned 1
stories 1
story 1
subplot 1
surprise 1
suspicious 1
switched 1
tagger 1
tags 1
taken 1
takeover 1
talk 1
tank 1
teenaged 1
tell 1
telling 1
tells 2
than 1
that 14
the 54
them 1
then 1
these 1
they 2
title 1
tito 1
to 35
toll 1
town 1
tracks 1
trade 1
trashed 1
tried 1
tries 2
trustee 1
trying 1
two 2
unconscious 1
underwater 1
unfinished 1
unionregister 3
up 2
upcoming 1
upending 1
used 1
videos 1
visits 1
wanted 1
was 8
wasnt 1
wedding 1
week 1
what 1
when 4
where 1
which 2
who 5
why 1
widow 2
will 1
wish 1
with 11
working 1
worse 1
write 1
writer 2
writing 1
wrong 1
year 1
yoking 1
you 1
young 2
