31539009
/m/0glqrs_
/m/0glqrs_
Isobelle Carmody

{"/m/06n90": "Science Fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy"}
against 1
all 1
and 2
as 2
at 1
awaits 1
be 1
black 2
by 1
captors 1
closer 1
community 1
compound 1
continue 1
deadly 1
delay 1
destroy 1
destroyer 1
elspeth 3
end 1
even 1
every 1
faces 1
fallen 1
for 1
friends 1
goal 1
gordie 1
hands 1
has 1
haunted 1
have 1
her 6
his 1
in 2
into 1
is 1
it 1
land 1
learns 1
longforeseen 1
lost 1
love 1
memories 1
mistake 1
moreover 1
must 2
not 1
of 6
quest 1
realising 1
reawakening 1
red 1
road 2
rushton 2
sacrificed 1
seeker 2
seems 1
sees 1
shakes 1
she 2
slavemasters 1
still 1
struggles 1
that 1
the 12
to 2
vain 1
walk 1
weaponmachines 1
what 2
will 1
yet 1
