26531192
/m/0bh9qr6
/m/0bh9qr6
John Ulrich Giesy
1965
{"/m/06n90": "Science Fiction"}
a 3
advanced 1
american 1
among 1
an 2
and 4
angel 1
art 1
as 1
astral 1
astrally 1
at 1
because 1
body 2
by 3
calling 1
concerns 1
consciousness 1
croft 5
deity 1
determines 1
dog 1
eventually 2
explain 1
falls 1
feels 1
figures 1
finding 1
finds 2
first 1
floats 1
form 1
from 1
gained 1
has 1
he 2
her 2
him 1
hindu 1
his 3
host 1
human 1
improvements 1
in 2
introducing 1
jason 1
jasor 2
key 1
kingdom 1
knowledge 2
learned 1
life 1
lives 1
love 3
major 1
misunderstanding 1
naia 1
nodhur 1
novel 1
observing 1
of 9
on 2
once 1
out 1
palos 3
people 1
places 1
planet 2
princess 2
projection 1
projects 1
rulers 1
sent 1
set 1
sets 1
sick 1
sight 1
sirius 1
solar 1
sorts 1
spiritually 1
spying 1
star 1
system 1
tamarizia 1
teacher 1
technological 1
technology 1
the 14
their 2
them 1
there 2
this 1
to 6
unusual 1
upon 1
uses 1
view 1
way 1
wealthy 1
who 1
win 2
with 1
within 1
zitu 1
