1356238
/m/04wbph
/m/04wbph
Plato

{"/m/037mh8": "Philosophy"}
a 3
about 1
action 1
allowing 1
also 1
an 1
ancient 1
and 12
announces 1
apocryphal 1
appear 1
appears 1
are 2
as 3
asked 1
assistance 1
at 1
athenian 3
athens 2
background 1
be 1
been 1
beginning 1
book 1
but 1
by 3
called 1
cave 2
chapters 1
choice 1
citizen 1
city 4
clinias 2
coherent 1
colony 1
conversation 1
creating 2
credit 1
cretan 2
cretans 1
crete 1
dance 1
day 1
densely 1
dialogue 6
dialogues 1
divine 2
does 1
down 1
during 1
education 1
end 1
entire 1
every 1
exercise 1
expect 1
fact 1
five 1
for 6
from 4
given 1
goes 1
greek 1
has 1
have 1
he 4
imagine 1
in 9
including 1
instead 1
instruction 1
intelligence 1
is 9
island 1
it 2
joins 1
journey 1
just 1
knossos 2
lacedaemonian 1
law 4
lawgiver 1
lawgiving 3
laws 7
lead 1
less 1
like 1
longest 1
made 1
magnesia 1
magnetes 1
making 1
megillos 1
men 2
mentioned 1
miles 1
mimics 1
minos 3
more 1
most 1
music 1
name 1
natural 2
never 1
new 3
nine 1
not 2
numerous 1
of 18
old 2
on 3
one 1
only 1
or 2
order 1
ordinary 1
other 2
outside 3
packed 1
path 1
phaedrus 1
philosophy 1
pilgrimage 1
pinpointing 1
piraeus 1
place 2
plato 2
platonic 1
politician 1
politics 1
primarily 1
proceeds 2
question 3
questions 1
quite 1
rather 1
receive 1
receives 1
relations 1
religion 1
religious 1
republic 1
resembles 1
responsibility 1
rest 1
revelation 1
right 1
role 2
said 2
seaport 1
set 1
socrates 3
spartan 2
speakers 1
stranger 3
systems 1
takes 2
talking 1
that 4
the 45
their 2
they 1
third 1
this 3
three 1
to 5
towards 1
twelve 1
twice 1
two 2
unlike 1
uses 1
walked 1
walking 1
walls 1
what 1
where 2
which 3
who 2
whose 1
with 1
would 2
writings 1
xenos 1
year 1
years 1
zeus 2
