21559095
/m/05h23d8
/m/05h23d8
John Marsden
2000
{"/m/03mfnf": "Young adult literature"}
a 1
act 1
alone 1
and 1
at 1
been 1
begins 1
behind 1
come 1
death 1
deaths 1
determined 1
estate 1
every 1
family 1
feelings 1
first 1
for 2
four 1
future 1
going 1
has 2
haunted 1
her 7
if 1
into 2
is 2
journey 1
leave 1
memories 1
must 1
mystery 1
neglected 1
not 1
now 1
of 2
old 1
parents 1
past 2
returns 1
she 3
since 1
single 1
sixteen 1
step 3
the 5
their 1
time 1
to 4
twelve 1
uncover 1
warriewood 1
was 1
when 1
will 1
winter 3
with 1
years 2
