6267981
/m/0fzs4g
/m/0fzs4g
Thomas Middleton
1630
a 15
able 1
abortive 1
actuality 1
affair 1
after 1
aging 1
agree 1
all 3
allwit 2
allwits 2
also 1
an 3
and 10
announces 1
another 1
any 1
appears 1
are 2
around 1
as 2
at 3
attempt 1
attempting 1
avoid 1
because 1
bed 1
been 3
before 2
begets 1
being 1
believes 1
betrothed 1
both 1
brings 1
brother 3
brought 2
burial 1
cambridge 1
caught 1
celebration 1
celebratory 1
centered 1
cheapside 1
child 1
coffins 1
comes 1
conceive 1
condemning 1
continues 1
couple 1
cross 1
cuckold 1
daughter 1
day 2
death 1
debt 1
deceives 1
depart 1
die 1
died 1
dinner 1
dowry 1
drenched 1
eager 1
earlier 1
elder 1
elope 1
exit 1
faints 1
fall 1
family 1
father 1
fatuous 1
fertile 1
fertility 1
fight 1
flees 1
for 4
fortune 1
from 5
funeral 1
gallant 1
gifts 1
gives 1
goldsmith 1
guarded 1
had 1
has 5
have 2
having 1
he 5
headed 1
heir 1
her 3
him 2
his 8
home 4
house 1
however 1
if 1
important 1
impregnates 1
imprisoned 1
in 4
indulging 1
inherit 1
into 1
is 9
joint 1
junior 4
kick 1
kind 1
kix 3
kixes 2
knight 1
knowing 1
lady 2
land 1
landed 2
latin 1
legitimate 1
lives 1
london 1
love 1
lovers 1
loves 1
maid 2
makes 1
marriage 1
meanwhile 1
mistresses 1
moll 9
money 1
mourning 1
must 1
near 1
news 1
niece 3
no 1
not 1
of 9
on 1
one 1
or 1
out 1
parents 1
philandering 1
plan 1
play 1
plots 1
poor 1
potion 1
pregnancy 1
pregnant 1
prepares 1
presents 1
prodigiously 1
promised 1
promises 1
prospects 1
purchase 1
reality 1
receive 1
relation 1
repents 1
request 1
returns 1
rise 1
ruining 1
saddened 1
salvation 1
scholar 1
seems 1
sell 1
senior 4
separate 1
she 2
sick 2
sidebargain 1
sins 1
sir 12
sleeps 1
special 1
strand 1
street 1
support 1
tells 1
thames 1
that 7
the 23
their 1
theirs 1
they 2
this 2
three 1
thus 1
tim 3
titular 1
to 14
touchwood 10
true 1
turns 1
tutor 1
two 1
university 1
upon 1
very 1
wales 1
walter 12
way 1
wealthy 1
wed 1
wedding 1
welsh 1
when 2
while 1
who 5
whorehound 1
wife 4
will 1
with 4
wittol 1
woman 1
word 1
wounded 1
yellowhammer 1
yellowhammers 1
young 1
