8105438
/m/026rplh
/m/026rplh
Martin Caidin
1995-06
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
25th 1
a 3
adjust 1
along 1
also 1
and 2
animation 1
anthony 1
as 2
at 2
battle 1
before 1
buck 2
caidin 1
centuries 1
century 1
chance 1
civilizations 1
corps 1
crash 1
cyberdyne 1
deering 1
discovered 1
earth 1
fall 1
falls 1
five 1
fokker 1
for 1
future 1
given 1
he 2
helping 1
his 1
hopes 1
in 7
injuries 1
into 1
invaders 1
is 4
kept 1
life 1
love 1
medical 1
methods 1
modernday 1
mortally 1
must 1
new 1
novel 1
of 2
original 1
pilot 3
placed 1
plane 1
point 1
render 1
retells 1
revived 1
rise 1
rogers 4
some 1
space 1
stasis 1
story 2
survivable 1
survival 1
suspended 1
systems 1
technologies 1
that 1
the 8
to 1
top 2
ultimately 1
various 1
way 1
while 1
who 1
will 1
wilma 1
with 3
wounded 1
zero 1
