14249924
/m/03cz5hw
/m/03cz5hw
Sue Townsend

13 2
165 1
2 1
80 1
a 8
abdicate 2
abdication 1
abolished 1
adoptive 1
after 4
all 1
almost 1
an 1
and 8
are 1
arthur 1
as 3
at 1
attention 1
attracts 1
authoritarian 1
badly 1
barker 1
be 2
become 4
becomes 1
been 2
being 1
believed 1
benefactor 1
biological 1
born 1
both 1
boy 2
britain 1
businessman 1
but 2
called 2
camilla 7
cannot 2
cared 1
causes 1
charles 7
claims 2
codicil 1
con 3
cons 1
conservative 1
consort 1
constitutional 1
consults 1
cornwall 1
country 1
cracknall 1
cromwell 1
daily 1
day 1
debilitating 1
decided 1
decision 1
died 1
dislike 1
dismiss 1
disturbance 1
does 1
duchess 1
duke 1
each 1
eagerly 1
earlier 1
edinburgh 1
election 2
elects 1
employer 1
ends 1
english 1
enraged 1
enter 1
estate 1
exclusion 2
exhausted 1
family 3
fancies 1
father 1
fez 5
fiefdom 1
finally 1
flowers 2
follows 2
for 4
formerly 1
friend 1
general 1
goes 1
graham 4
grandscale 1
grant 1
grice 2
had 1
has 2
have 1
having 1
he 6
her 3
him 5
himself 1
his 10
honours 1
hospital 1
husband 1
iii 1
in 9
including 1
instant 1
is 10
it 1
its 1
jack 1
just 1
king 3
knighthood 1
lady 1
last 1
leader 2
learning 1
life 1
liking 1
line 1
little 1
living 1
lobbies 1
lockdown 1
magnate 1
members 1
minister 1
miranda 1
monarchy 2
more 1
most 1
mp 1
mysterious 1
named 1
new 7
nicholas 1
no 1
not 4
novel 1
now 4
of 12
offers 1
office 1
often 1
on 3
one 1
online 1
only 2
opened 1
operative 1
or 1
other 1
out 2
outside 1
parentage 1
parents 1
part 1
particularly 1
party 2
peoples 1
place 1
prime 1
prince 5
private 1
promised 1
promises 1
public 2
queen 10
rampton 1
reason 2
refuses 1
reign 1
republican 1
residence 1
residents 1
restore 1
restoring 1
return 1
revealed 1
royal 1
ruse 1
scaffolding 1
second 1
security 1
selfaggrandising 1
she 3
sign 1
soames 1
son 1
spend 1
start 1
story 1
stroke 1
suffered 1
takes 1
talking 1
telegraph 1
tells 2
than 1
that 2
the 38
their 1
then 2
there 1
throne 1
through 1
thrown 1
to 13
too 1
tourists 1
unknown 1
unless 1
up 1
visits 1
wales 2
want 1
wants 1
when 1
which 1
who 4
whole 1
why 1
wife 1
will 3
william 3
win 1
with 4
wonders 1
worst 1
years 3
zone 1
zones 1
