3687844
/m/09vhjk
/m/09vhjk
Frederick Forsyth
1974
10000 1
100000 1
170 1
20000 1
40 1
400000 1
60 1
a 33
aboard 2
about 2
academic 1
accidentally 1
accompanies 1
acquired 1
acquires 1
across 1
africa 1
african 9
after 2
against 1
agreement 1
aides 1
ailing 1
all 1
along 1
already 2
also 4
although 3
ambiguous 1
american 1
ammunition 3
amphibious 1
an 2
analysed 2
and 46
angloirish 1
announcement 1
another 1
antitank 1
any 2
are 4
armed 1
armoury 1
arms 2
army 5
around 1
arrives 1
as 12
assault 2
assembles 1
assign 1
assistants 1
at 4
attack 4
attackers 1
attacking 1
authorities 1
aware 1
back 1
bare 1
bazooka 1
bazookas 1
be 5
because 1
bedroom 1
been 1
before 2
behalf 1
behind 1
belgian 2
belgium 1
below 1
benefit 1
blood 1
boats 1
bobi 4
bodyguard 4
bombards 1
boots 1
border 2
bormac 2
both 1
bought 2
bribe 1
brief 1
british 1
britishbased 1
bullet 1
bureaucrat 1
buried 1
burst 1
burundi 1
bush 1
but 5
buy 4
buys 1
by 5
camp 2
camping 1
cancer 2
capital 1
captain 1
cargo 2
casual 1
casually 1
cat 3
ceased 1
certificate 1
chemist 1
chest 2
chief 1
city 1
clarence 3
collect 1
colonel 2
commander 1
commissions 1
company 6
compound 2
comprehensive 1
concealed 1
concentrated 1
conducted 1
confiding 1
consolidated 2
controlling 1
corsican 1
country 2
coup 2
crystal 3
daughter 1
day 1
days 1
dealer 1
dealt 1
deck 1
defenders 1
deposed 1
deposit 3
destroys 1
diagnosed 1
did 1
died 2
dies 1
discovered 1
disenfranchised 1
disguised 1
disorient 1
dissident 1
does 1
dogs 1
dr 3
drives 1
drums 1
dupree 6
early 1
earnings 1
east 1
editions 1
eliminating 1
embarking 1
employed 2
end 3
endean 12
enforcer 1
entire 1
epilogue 1
equipment 2
escape 1
escapes 1
essentials 1
establish 1
europe 1
eve 1
ever 1
execute 1
exile 1
expert 2
explains 1
exsmuggler 1
faction 1
failed 1
fair 2
fallen 1
false 1
family 1
fate 1
favourite 1
fazed 1
fell 1
fellow 1
few 1
fictitious 1
fighting 1
final 1
financial 1
findings 2
finds 1
flares 2
flees 1
foghorns 1
for 13
force 2
foreign 1
forged 1
former 3
founder 1
france 1
freelance 1
from 7
furious 1
gangster 1
gates 1
general 2
geological 1
geology 1
german 1
going 1
goodbye 1
got 1
government 3
graves 1
grenade 1
group 1
guard 1
guns 1
had 1
handle 1
harlem 1
has 12
have 6
having 1
he 15
head 1
heard 1
hence 1
hidden 2
him 1
himself 2
hinterland 1
hires 1
his 17
holding 1
homicidal 1
hours 1
how 1
huge 1
humming 1
hundred 3
hutu 1
identity 1
if 3
illiterate 1
immigrant 1
in 32
inadvertently 1
independence 1
inflatable 1
influence 1
insane 1
install 1
installed 1
interior 1
into 2
introduces 1
investigate 1
investigator 1
involvement 3
iraqi 1
is 13
it 5
its 1
james 4
jan 1
jean 1
jeanbaptiste 1
johnny 2
journalist 1
julie 1
kgb 2
killed 1
kills 2
kimba 13
knife 1
kurt 1
lady 1
land 2
langarotti 3
large 1
last 2
later 2
launch 1
launchers 1
leader 1
learns 2
least 1
leaving 1
leftwing 1
legitimately 1
leone 1
liaison 1
life 1
little 1
load 1
loaded 1
london 4
long 1
looking 1
lost 1
lung 1
luxembourg 1
macallister 1
machine 1
man 1
manson 14
manuscript 1
marc 1
market 2
marseilles 2
martin 2
marxist 1
meanwhile 1
member 1
members 1
mercenaries 4
mercenary 2
michel 1
micombero 1
midday 1
might 1
million 1
mineral 2
mining 3
mission 1
mm 1
money 1
moneynbsp 1
months 1
morning 1
morocco 1
mortally 1
mortar 1
mortars 3
most 2
mount 1
mountain 3
mouth 1
mp 1
mulrooney 1
name 1
named 1
names 1
national 1
near 2
nearby 2
never 1
new 6
no 2
nominal 1
nondescript 1
not 3
note 1
novel 2
now 1
nucleus 1
obtained 1
of 33
office 1
oil 1
okoye 3
on 7
once 1
one 4
only 4
operation 3
opposition 1
organise 1
organised 2
otherwise 1
out 2
outlining 1
outside 1
over 2
own 3
owned 1
palace 7
participate 2
partisans 1
pay 2
people 1
permanently 1
pick 1
pistols 1
pittance 1
place 2
plan 2
planned 1
plans 1
plantationowning 1
platinum 3
ploe 1
pocket 1
points 1
police 1
politically 1
port 1
posing 1
posts 1
prepare 1
president 4
presidential 1
presumably 1
price 3
prices 1
principal 1
private 1
prologue 1
proper 1
prospector 1
public 1
puppet 1
purchase 1
radio 1
realises 1
really 1
recommendation 1
reconnoitre 1
recruited 1
refuses 1
regime 1
remote 1
replace 1
reports 1
republic 1
request 1
research 1
revealed 2
reveals 1
revenge 1
rights 2
rocket 2
rockets 1
rounds 1
russians 1
ruthless 1
sail 1
sails 2
sale 1
samples 2
saying 1
scene 1
scheme 1
