8835920
/m/027ldqf
/m/027ldqf
Robert Muchamore
2005-04-14
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature"}
14yearold 1
a 4
across 1
adams 1
advantage 1
after 1
alone 1
americans 1
an 2
and 4
arizona 1
arms 1
arrest 1
arrive 1
as 2
ask 1
at 1
bars 1
be 2
beats 1
been 3
behind 1
being 1
breakthrough 1
bust 1
but 2
by 1
cherub 1
cia 1
come 1
criminals 1
curtis 4
dave 3
dead 1
dealer 1
do 1
escape 1
essential 1
even 1
execute 1
expect 1
experienced 1
favour 1
fbi 1
fight 1
focuses 1
for 4
from 1
gets 1
has 3
he 2
held 1
help 1
her 3
him 1
his 2
hoping 1
hospital 1
however 1
injured 1
innocent 1
international 1
into 1
is 4
jailed 1
james 5
jane 5
joined 1
kids 1
later 1
lauren 3
lead 1
leaving 1
list 1
long 1
maximum 1
meet 1
men 1
mission 2
moss 1
most 1
mother 1
murdering 1
navy 1
new 1
not 1
of 1
on 4
one 1
organisation 1
out 1
oxford 3
people 1
performance 1
plan 1
prison 3
security 1
sends 1
sent 1
she 2
shirt 1
sister 1
so 1
son 1
soon 2
spying 1
taken 1
that 1
the 7
them 3
then 2
they 2
three 1
to 7
undercover 1
untraceable 1
up 1
wanted 1
wants 1
who 1
will 1
with 3
