7896162
/m/026j1b9
/m/026j1b9
Tamora Pierce
2006-10
{"/m/01hmnh": "Fantasy"}
8 1
a 22
abducts 1
abilities 1
ability 1
able 1
about 2
actually 1
adopts 1
after 1
alanna 1
alleged 1
allowing 1
also 2
although 1
an 1
and 25
angry 1
aniki 1
are 2
arrest 1
as 5
assigned 1
at 3
backs 1
baker 2
band 1
be 5
beauty 1
become 1
becomes 1
bedtime 1
been 3
begins 1
behaviors 1
being 1
beka 18
best 1
black 1
blog 1
book 1
both 1
breeze 1
brothers 1
brought 2
but 2
by 5
cannot 2
capture 1
captured 1
cat 2
cats 1
caught 1
certain 1
character 1
charge 1
children 4
city 5
clara 1
clary 1
close 1
constellation 1
contain 1
conversations 1
cooper 2
crews 1
crime 1
crimes 1
criminals 1
crookshank 6
cruel 1
culprit 2
curse 2
dangerous 1
daughter 1
daughterinlaw 1
death 1
demanding 1
determination 1
diary 1
dies 1
diggers 1
digging 1
dirt 1
discover 1
discovers 2
dog 3
dogs 3
done 1
dust 2
eleni 1
employ 1
enter 1
entries 1
everyone 1
expensive 1
extra 1
extremely 2
eyes 1
faithful 2
featured 1
fighter 1
fire 2
first 2
flying 1
for 6
force 1
form 1
friend 1
friends 2
from 4
front 1
gain 1
gains 1
george 1
gershom 1
gets 1
ghosts 1
give 1
giving 1
god 4
goes 1
going 1
good 1
goodwin 1
grandson 1
grave 1
guards 1
hard 1
harming 1
has 8
hated 1
have 1
having 1
he 3
hear 3
help 1
helped 1
helps 2
her 14
high 1
him 1
himself 1
hiring 2
his 3
household 1
however 4
if 1
in 17
information 3
initially 1
instead 1
instill 1
into 1
irresistible 1
is 22
it 5
job 1
journal 1
justice 2
keeps 1
kidnapped 1
killed 1
killer 1
killing 2
king 1
known 1
kora 1
landlord 1
lane 1
large 1
later 2
learns 1
least 1
life 1
lioness 1
lived 1
local 1
lord 2
lower 3
made 1
mage 1
mages 1
magical 1
marked 1
mattes 1
matthias 1
may 2
middle 1
mistress 3
mixed 1
most 3
mother 2
murdered 1
mutt 1
name 2
new 1
news 1
nickname 1
noll 3
not 4
noted 1
noting 1
novel 1
number 1
observed 1
of 25
old 2
on 2
one 1
only 2
opals 2
opalsrare 1
or 3
other 1
owns 1
paid 2
parents 1
parties 1
party 1
pay 1
peaceful 1
people 1
perform 1
piddle 1
pierce 1
pigeons 2
place 1
poor 1
possessions 1
pounce 6
power 2
prelude 1
price 1
prized 1
property 1
proves 1
provost 2
puppy 1
purple 1
quartet 1
range 1
rates 1
ready 1
realms 1
refuses 1
relates 1
rent 1
resource 1
retaliation 1
revealed 1
revered 1
ride 1
riot 1
rogue 2
roland 1
rosto 2
rusher 2
ruthless 1
same 1
scummer 1
search 1
second 1
secrecy 1
see 1
sends 1
senior 1
series 2
shadow 5
she 8
shy 1
sisters 1
snake 7
snippets 1
something 1
son 4
song 1
soon 1
sources 1
speak 1
speaking 1
spent 1
spinners 2
still 1
stones 1
story 2
streets 1
struggle 1
suggested 1
suicides 1
supply 1
surrogate 1
swallows 1
swearing 1
swirls 1
sword 1
taken 3
tales 1
tamora 1
tansy 1
tasks 1
tell 1
that 8
the 57
their 3
them 1
these 1
they 2
think 1
this 1
though 1
thoughts 1
threat 2
threats 1
through 2
throughout 1
time 3
to 21
told 1
tortall 2
training 3
trains 1
tunstall 1
two 2
underworld 1
unfairly 1
unknown 1
unsure 1
until 1
unusual 1
up 2
uses 1
valuable 3
very 1
voices 1
was 4
way 1
what 1
when 4
where 1
which 2
who 10
will 1
wishes 1
with 5
woman 1
work 1
workers 1
worth 1
year 1
years 1
