5344537
/m/0dgm10
/m/0dgm10
Fritz Leiber
1967
2004 1
a 16
accidentally 1
across 2
adapted 1
against 2
all 4
an 1
and 15
around 1
as 5
at 2
bake 1
baker 1
bankrupts 1
be 1
beats 1
before 2
believe 1
beneath 1
bet 2
big 5
body 1
boneyardand 1
book 1
brand 1
bread 1
breadthe 1
but 1
by 6
can 1
casino 1
centers 1
channel 1
children 1
chips 2
club 2
coat 1
come 1
comes 1
communion 1
confronting 1
connected 1
cookies 1
craps 1
created 1
cross 1
crumbles 1
dark 1
david 1
death 1
decides 1
deep 1
dice 2
disapproval 1
diving 1
dollars 1
doublesix 1
drunk 1
each 1
elderly 1
ending 1
entrance 1
everything 1
evidenced 1
eyes 1
facing 1
fact 1
family 1
figure 1
filled 1
finds 2
food 1
for 2
form 1
free 1
frustration 1
gambler 5
gambling 1
game 2
gets 2
goes 1
had 1
handful 1
happens 1
has 4
hat 1
having 1
he 15
heat 2
held 1
her 2
hidden 1
highstakes 1
him 1
himself 1
his 12
home 4
house 1
however 1
humiliating 1
illustrated 1
impact 1
imprinted 1
in 6
incarnate 1
income 1
influence 1
instead 2
intense 1
into 1
is 5
it 5
its 1
jail 1
joe 7
joining 1
jumped 1
kill 1
kind 1
l 1
latest 1
latter 1
leaps 1
learned 1
left 1
life 2
lifestyle 1
like 1
lives 1
local 1
long 2
looks 1
loses 2
losing 1
made 1
make 1
man 1
manages 1
means 1
milk 1
miner 1
money 2
mother 1
neverending 1
new 1
night 2
now 2
number 1
occasional 1
oddly 1
of 15
off 1
offers 1
on 5
one 1
only 1
onto 1
openedthe 1
other 1
out 3
outlet 1
oven 1
own 1
pale 1
parlors 1
pastry 1
piece 2
players 1
plus 1
pocketful 1
point 1
poor 1
possesses 1
precision 2
prepares 1
press 1
prostitutes 1
prove 1
published 1
putting 1
realizes 1
regularly 1
remarkable 1
returns 1
rolling 1
rolls 2
routinely 1
same 1
sarah 1
several 1
sex 1
shaft 1
she 1
show 1
sidewalk 1
skill 1
skull 1
slattermill 1
snake 1
some 1
soul 1
source 1
spending 1
steal 1
stolen 1
story 2
supplement 1
suspiciously 1
table 3
tackles 1
talent 1
tasting 1
that 6
the 26
them 2
then 1
this 4
thomson 1
though 2
thousand 1
throwing 2
thrown 1
to 12
trip 1
try 1
up 1
upon 1
uses 1
visits 1
voices 1
wafers 1
wants 1
was 3
way 1
whatever 1
when 2
where 1
which 1
while 1
whose 1
wiesner 1
wife 4
win 1
winds 1
winnings 1
with 5
works 1
world 2
written 1
