9694565
/m/02ppd46
/m/02ppd46
Charlie Huston
2005-12-27
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/03xj9g": "Hardboiled"}
a 8
adventures 1
afraid 1
already 1
and 2
any 1
around 2
as 1
aside 1
asked 1
best 1
bitten 1
but 1
by 1
carrier 1
causing 1
clans 1
connections 1
contact 1
cure 1
currently 1
daughter 1
dead 1
disease 2
do 1
effects 1
epidemic 1
evie 1
fears 1
figure 1
find 2
follows 1
for 1
from 2
girlfriend 1
gothic 1
has 2
he 3
her 2
him 2
his 3
hiv 2
how 1
human 1
in 1
infected 1
infecting 1
into 1
is 6
it 1
item 1
joe 5
keep 1
knows 1
like 1
line 1
makes 1
man 1
manhattan 1
meanwhile 1
mysterious 2
named 2
new 1
of 6
or 1
out 1
pitt 1
positive 1
pressured 1
rich 1
secret 1
sexual 1
shamblers 1
she 1
sickness 2
side 1
since 1
so 1
spreading 1
stemming 1
symptoms 1
terrified 1
that 1
the 7
then 1
this 2
to 7
town 1
tries 2
underworld 1
up 1
valuable 1
vampyre 1
vampyrism 1
which 1
whoever 1
with 1
work 2
york 1
zombie 2
