18438819
/m/04f47wb
/m/04f47wb
Steven Brust
2008-07-08
a 18
about 8
accused 1
acting 1
activities 1
adrilankha 1
after 6
again 1
against 1
agrees 2
aided 1
all 1
among 1
an 4
and 34
answers 1
anyway 1
appear 1
approached 3
are 2
arrest 1
arrives 1
arriving 1
art 1
as 5
ask 1
assassin 2
associated 1
at 6
attack 1
audience 1
authority 1
back 1
bad 1
banded 1
barash 1
basic 1
be 2
because 1
been 5
before 1
begin 1
behind 1
being 2
belief 1
believed 1
belong 1
belonged 1
best 1
birds 1
blisters 1
bribing 1
burned 1
burying 1
burz 5
but 2
by 12
called 1
cannot 1
caretaker 1
cats 1
causing 1
cellar 3
chayoor 3
choice 1
claims 1
coachman 1
come 3
common 1
completes 1
confront 1
connection 1
consist 1
containing 1
continues 1
could 1
count 7
counts 3
coven 5
crippled 1
currently 1
dahni 4
day 4
days 2
decides 10
despite 2
destroy 1
digesting 1
discovers 1
distant 1
do 1
dock 1
does 1
doesnt 1
dont 1
down 4
drugged 1
due 1
during 1
easterners 1
emissary 1
empire 1
enemy 2
erdergbasson 1
escapes 1
especially 1
estate 1
expresses 1
familiar 1
family 5
father 3
feeble 1
fenario 3
figures 1
filled 1
find 2
finding 1
finds 1
fire 1
first 1
fit 1
fled 1
following 1
for 6
forcefully 2
fourth 1
from 2
full 1
gain 1
gather 1
general 1
go 1
good 2
greeted 1
group 1
guild 8
guilds 1
guise 1
had 1
harder 1
has 2
hat 1
have 4
having 1
he 11
head 2
headquarters 1
heal 1
help 1
helping 1
her 3
him 9
his 17
holds 1
home 1
house 1
hunt 1
hunted 1
if 1
imperial 1
importer 1
in 16
inchay 1
information 4
informing 1
informs 3
injuries 1
inn 4
inquiry 1
interest 1
interested 2
into 3
investigation 1
is 20
it 5
jhereg 1
kill 1
killed 2
kills 1
kin 5
king 1
know 1
knows 1
leader 1
learns 1
leaving 1
left 1
likely 1
limited 1
lips 1
liquor 1
live 1
local 1
location 2
loiosh 4
lucidity 1
majesty 1
make 2
man 3
marishka 1
meant 1
medical 1
meehayi 1
meet 1
meets 2
members 1
merchants 4
merss 5
message 1
mice 1
mind 1
mob 1
moment 1
more 1
most 1
mostly 1
mother 2
mothers 1
motion 1
mouse 3
moves 2
much 1
murder 1
murdered 2
name 4
named 5
neighbors 1
next 3
nice 1
night 3
noij 3
noishpa 3
not 2
note 1
notify 1
now 2
of 21
offer 1
on 3
one 1
only 3
or 2
orbahn 2
orbhan 1
other 1
out 5
outside 1
over 2
own 1
paper 3
people 1
phenomenon 1
plan 1
plans 1
pointed 1
politely 1
poor 1
power 1
pretending 1
prevent 1
previous 1
priest 1
produced 1
proper 1
prostitute 1
provides 1
pulper 1
questioning 4
questions 2
rage 1
read 1
realizes 1
receiving 1
recipe 2
recovered 1
red 1
refers 1
refuses 1
regent 1
region 1
regrets 1
remaining 1
remembers 1
rescue 1
residing 1
returning 2
returns 1
revealed 1
reveals 2
revenge 2
risk 1
rocza 2
run 1
runic 1
sanctuary 1
search 1
searching 1
secret 1
see 1
seek 2
seeks 1
sending 1
sends 1
set 1
sets 1
several 3
should 1
simultaneously 1
some 2
somehow 1
spell 1
stays 1
steal 1
stealing 1
stopped 1
studies 1
surveillance 1
suspected 1
suspicion 1
suspiciously 1
szurke 1
take 1
taken 1
takes 1
talk 1
taltos 3
tells 1
tereza 2
thank 1
that 11
the 66
their 2
them 3
then 2
there 2
they 1
things 1
this 3
those 1
threat 1
threatened 1
to 45
together 1
torture 1
tortured 1
town 5
trace 1
tracking 1
tradesmen 1
translates 1
treatment 2
true 1
trying 2
turned 2
typically 1
uncharacteristic 1
under 1
unusual 1
up 1
upon 2
upsetting 1
use 1
uses 1
verra 1
very 1
vision 1
visit 2
vlad 36
vlads 5
walk 1
was 3
west 1
where 1
while 3
who 14
will 1
witch 5
witches 5
with 8
without 1
woods 1
work 2
working 1
would 1
years 1
you 1
zerika 1
zollie 3
