534538
/m/02mkbp
/m/02mkbp
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
200 1
300 1
630 1
a 63
abbey 5
able 3
about 7
above 1
absence 1
absent 1
accents 1
accidentally 1
accomplice 1
acquiesced 1
actress 1
address 2
affairs 1
after 3
afternoon 1
agree 2
air 1
airplane 1
alarm 3
alcove 2
alfred 5
all 2
almost 2
alone 1
along 1
also 9
alwaysmissing 1
am 3
american 1
among 1
an 13
and 92
annoyance 1
another 1
any 2
anyone 1
anything 1
anyway 1
approach 1
are 6
arm 3
armed 1
arms 1
arranged 1
arrangements 1
arrested 1
arrive 2
arrived 1
arrives 1
as 14
aside 1
asks 3
asleep 1
assailant 1
association 4
at 28
attempt 1
attempted 1
attention 1
attracts 1
away 2
awfully 1
babe 1
back 4
bateman 1
battle 10
bauer 4
be 4
beautiful 1
bed 2
bedroom 1
been 5
before 3
behaviour 1
behind 1
being 9
between 1
biggest 1
bill 26
blade 1
body 2
book 1
both 2
brandy 1
break 1
breaks 2
british 1
broken 1
brought 1
bundle 34
burglar 1
business 1
but 23
buying 1
by 13
called 3
cant 1
car 7
card 1
caterham 3
caught 1
century 1
chairs 1
changed 1
changing 1
charred 1
check 2
chimneys 10
chloral 1
clever 1
climbed 5
climbing 1
clock 3
clocks 5
close 1
clothes 1
club 8
collapses 1
comes 3
coming 3
commotion 1
complains 1
concealment 1
conclusion 1
confiding 1
connected 1
connections 1
contents 2
continues 1
coote 4
cootes 4
could 1
countess 6
country 1
couple 1
crime 1
criminal 1
criminalcatchers 1
criminals 1
cupboard 1
danger 1
darkened 1
dated 1
dates 1
daughter 1
day 5
days 2
dead 4
deane 1
death 3
decide 1
decides 3
delighted 1
den 1
deserved 1
desk 1
devereux 5
dials 20
didnt 1
died 2
dies 1
different 2
digby 3
disabled 1
discovered 1
dispose 1
distance 1
district 1
divert 1
do 1
doctor 3
does 1
doesnt 1
doorman 1
down 8
drink 1
drive 1
dropped 1
drugged 1
drunk 2
during 2
each 2
eberhard 2
eight 1
eighth 1
else 1
emergency 1
employment 1
empty 1
end 1
escaped 1
evening 2
eventually 1
ever 1
eversleigh 4
evidence 1
executors 1
explains 1
explanation 1
exposed 1
eye 4
eyes 1
fabrication 1
faces 1
fallen 1
family 1
father 1
fear 1
feet 1
feigned 1
few 1
fight 3
figures 1
finally 1
find 2
finding 1
finds 6
fire 1
fired 1
fireplace 1
first 3
fit 1
five 1
flat 2
footman 4
footprints 1
for 16
forces 2
foreign 2
forget 1
former 1
formula 5
formulae 1
fought 1
found 5
four 1
frees 1
friday 1
friend 1
frightens 1
from 22
full 1
further 2
gallantly 1
gambling 1
gather 1
gave 1
gentleman 1
george 3
gerald 2
german 2
gerry 14
get 8
gets 2
getting 1
girls 3
glove 2
go 4
goes 3
going 4
golfer 1
gone 2
got 1
government 1
group 5
guest 1
guests 1
gun 1
gunshots 1
had 6
halfbrother 1
hallway 1
happen 1
happened 2
has 18
have 2
having 10
he 40
hear 1
hearing 1
hears 2
hedge 2
help 1
hence 1
her 35
herself 1
hid 2
hide 1
him 19
himself 4
hinted 1
hinting 1
hints 1
his 24
hit 1
holding 1
holds 1
hoods 2
hours 1
house 8
household 1
how 1
hungarian 2
i 2
identifies 1
identity 1
if 2
in 43
incident 1
including 1
increased 1
incredible 1
inquest 2
insists 1
instead 2
integrates 1
international 1
interrupted 3
interrupts 1
intervals 1
into 15
introduced 1
invented 1
invention 2
investigate 1
investigating 1
invitation 2
irregular 1
is 47
it 11
its 3
ivy 6
jimmy 36
jimmys 1
join 1
joke 1
keep 5
killed 2
knocked 1
knocks 1
knowing 1
knows 3
lady 3
landed 1
lands 1
last 3
late 2
latenight 1
later 5
latter 1
lawn 4
leading 1
leads 1
leaps 1
lease 1
leave 3
leaves 1
leaving 1
left 4
lefthanded 2
letherbury 2
letter 5
letters 1
library 5
list 1
lives 1
lomax 3
lomaxs 1
london 4
looking 1
looks 1
loraine 12
lord 2
love 1
made 1
mafia 1
main 1
make 2
makes 1
making 1
man 11
manages 2
manmdashhe 1
mantelpiece 1
manufacturing 1
marks 2
marquess 1
matter 2
matters 1
maur 1
meekly 1
meet 2
meeting 6
meets 2
member 3
men 1
mention 1
millionaire 1
minister 1
misadventure 1
misses 1
missing 4
mistake 1
mole 2
moments 1
more 3
morning 4
mosgorovsky 3
most 1
moved 1
mr 2
much 1
murder 1
murdering 1
muttering 1
my 1
names 1
nationalities 1
negligee 1
never 1
new 1
news 3
next 10
night 7
nightclub 1
no 5
noise 3
noises 1
not 6
nothing 1
now 2
number 6
oclock 2
of 58
off 2
offered 2
offers 1
office 1
on 22
one 11
only 3
onto 4
open 2
opened 1
orourke 1
oswald 6
oswaldmdashand 1
other 3
out 9
outside 4
over 5
overdose 1
own 2
packet 2
paper 1
papers 1
part 2
party 7
passed 1
pay 1
people 3
persuades 1
perturbed 1
picks 1
pistol 4
place 7
plan 2
plans 2
play 1
plays 1
pleasantly 1
pointmdashsir 1
points 1
police 1
possession 1
possible 1
pours 1
precious 1
prescribed 1
present 1
previous 1
previously 1
priory 1
promptly 1
proposes 1
proves 1
pulling 1
put 1
putting 1
puzzled 1
puzzlement 1
puzzling 1
questions 2
radzky 1
raises 1
reached 1
reacted 1
read 1
real 1
realising 1
rearrangement 1
recalls 1
received 3
recognises 1
recounts 1
reference 1
referred 1
removal 1
rented 1
represented 1
reputation 1
request 1
retakes 1
return 1
returning 1
returns 2
reveal 1
reveals 1
revolutionising 1
right 3
righthanded 1
rings 1
road 1
role 1
ronny 13
room 16
round 5
run 1
rung 1
running 1
runs 2
rupert 1
rushes 1
russian 1
said 1
salary 1
sale 1
scared 1
scenes 1
scoop 1
scotland 1
screen 1
searches 1
second 2
secret 5
security 1
see 6
seedy 1
seen 1
sees 1
selfmade 1
sent 1
separate 1
service 1
services 1
set 1
seven 27
several 3
she 22
shock 3
shocked 2
short 2
shot 4
should 1
shoulder 2
show 1
showing 1
shows 1
signal 1
sinister 1
sir 11
situation 1
six 2
sleep 1
sleeping 1
sleepy 1
slits 1
so 2
society 1
some 2
someone 2
something 4
speaks 1
spots 1
spying 1
st 1
staged 1
stanley 5
started 1
starting 1
state 1
staying 2
stealing 1
steel 1
steps 1
stepsister 1
still 1
stirred 1
stock 1
stops 1
story 4
straight 1
strange 2
strangely 1
strong 1
struggle 1
study 1
succeeded 1
suddenly 1
suitable 1
superintendent 4
supposedly 1
sure 1
surprised 2
suspect 1
suspecting 1
suspicion 1
suspicions 1
suspicious 1
table 1
take 1
taken 2
takes 3
taking 1
talk 4
target 1
teeth 2
tell 2
telling 1
tells 15
terence 1
terrace 4
than 1
that 39
the 188
theft 2
their 11
them 7
themselves 1
then 3
thenunknown 1
theorises 1
there 15
thesiger 2
they 10
thief 1
things 2
