177375
/m/0181z3
/m/0181z3
Walter Tevis

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
300 1
500 1
a 9
advanced 1
after 1
alcohol 2
alien 4
alignments 1
all 1
along 1
also 1
amongst 1
an 3
analysis 1
and 15
anthea 3
anthean 1
antheans 3
apocalypse 2
appearance 1
appetite 1
are 3
arrests 1
as 5
aspires 1
avail 1
aware 1
be 2
because 2
become 1
becomes 1
been 2
being 2
believe 1
betty 2
bitterly 1
blinded 1
blinding 1
blindness 1
brief 1
broadcast 1
bryce 4
building 1
but 7
by 3
captivity 1
capture 1
changed 1
churchgoing 1
cia 3
claims 1
climate 1
cold 1
comes 1
commences 1
company 1
compared 1
complete 1
conclusive 1
confrontation 1
conglomerate 1
construct 2
continue 1
conversation 1
corrupt 1
creates 1
culture 1
curious 1
customs 1
deal 1
democratic 1
democrats 1
depict 1
despite 1
discovered 2
does 1
drought 1
due 2
during 1
dwindled 1
dwindling 1
earth 9
emotional 1
emotions 1
entrepreneur 1
environment 1
evidence 1
examination 1
examinations 1
exempt 1
exit 1
experiencing 1
eyes 2
falls 1
familiarized 1
fashion 1
fbi 1
feeble 1
feelings 1
ferry 3
few 1
final 2
find 1
first 2
flourish 1
followed 1
food 1
for 6
forced 1
frenzy 1
friends 1
from 4
fuel 1
fueltechnician 1
further 1
getting 1
gravity 1
harsh 1
has 3
have 2
having 3
he 11
head 1
her 1
him 3
his 17
home 3
hopefully 1
hopes 1
however 2
human 1
humanoid 1
hundreds 1
identity 3
in 6
incredible 1
inevitably 1
influence 1
instability 1
intense 1
introduces 1
inventions 1
invokes 1
is 14
it 1
jerome 1
jo 2
kentucky 2
lands 1
lead 1
leads 1
less 1
lifeboat 1
like 1
little 1
loads 1
love 1
make 1
many 3
meets 1
messages 1
mission 1
much 2
nathan 2
needed 1
newton 12
no 4
not 3
nuclear 1
of 15
on 3
order 1
others 1
over 1
own 2
party 2
patent 1
peace 1
planet 2
planetary 1
pointless 1
poorly 1
population 2
power 2
press 1
private 1
program 1
project 1
prosperity 1
public 1
quickly 1
radio 1
reaches 1
recorded 1
recording 1
reflect 1
release 1
releases 1
relieved 1
republican 1
responsible 1
rest 1
results 1
reveal 1
rigorous 1
rises 1
runs 1
safety 1
secret 1
seeking 1
seizure 1
selected 1
sensitive 1
shadows 1
share 1
she 1
simple 1
since 1
skull 1
slowly 1
small 1
solar 1
someone 1
soon 1
sooner 1
space 1
spaceship 2
starships 1
state 1
stop 1
story 1
strength 1
submit 1
such 1
superintelligence 1
superintelligent 1
superior 1
takes 1
technology 1
technologybased 1
terrible 1
tests 2
than 2
that 4
the 27
their 4
them 2
then 1
these 1
they 4
this 3
thomas 1
through 1
time 1
to 36
tries 2
troubles 1
truth 1
ultimately 2
unable 1
unfamiliar 1
uninformed 1
unusable 1
use 1
used 2
uses 1
vehicle 1
via 2
wars 1
water 1
way 1
wealth 2
which 3
while 1
who 1
whose 1
will 2
with 6
woman 1
would 3
xray 1
xrays 1
years 1
