5064007
/m/0d12d8
/m/0d12d8
Judy Blume
1978
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
170s 1
a 1
accidentally 1
address 1
adult 1
affair 2
an 2
and 2
be 1
blume 1
bored 1
boyfriend 1
by 2
complicated 1
decides 1
decision 1
different 1
directly 1
discovers 1
emblematic 1
evidence 1
extramarital 1
first 1
follows 1
having 2
her 2
high 1
housewife 1
husband 1
is 1
jersey 1
life 2
lives 1
longterm 1
marriages 1
might 1
mores 1
new 1
novel 1
of 3
old 1
open 1
period 1
pressman 1
reinvigorate 1
sandy 1
school 1
sexuality 1
she 1
somewhat 1
story 1
the 4
this 2
time 1
to 2
was 1
when 1
who 1
with 1
