18619336
/m/04gsz4r
/m/04gsz4r
Jennifer Weiner
2002
{"/m/02xlf": "Fiction"}
a 15
academic 1
accepts 1
accident 1
activity 1
after 2
age 1
also 2
and 18
are 2
as 4
at 2
attend 1
avoided 1
away 2
bathroomshower 1
be 1
beauty 2
been 1
begins 2
being 1
belongings 1
both 3
boy 1
by 2
car 1
career 1
caretaker 1
caroline 3
charade 1
charming 1
children 2
choosing 1
class 1
clerical 1
close 1
come 1
common 1
consequent 1
couch 1
date 1
death 1
delighted 1
desk 1
died 2
different 1
difficulties 1
discover 1
discovered 1
discovers 1
dogwalker 1
doing 1
drifting 1
due 1
dyslexia 1
each 2
elderly 1
eldest 1
ella 2
ends 1
enjoys 1
entire 1
equipped 1
even 1
eventually 2
evicted 1
exams 2
except 1
faces 1
failure 1
father 3
feel 1
feller 1
fill 1
fills 1
find 2
finding 2
for 2
free 1
from 1
fully 1
future 1
girls 1
gradually 1
grandma 1
grandmother 1
had 5
has 1
her 17
hide 2
high 1
home 2
homeless 1
however 1
if 1
in 14
information 1
internet 1
invites 1
is 6
jobless 1
jobs 1
law 2
lawyer 1
leads 2
learning 1
leaves 1
letters 1
level 1
library 2
life 3
like 1
little 1
lives 1
longlost 1
lower 1
maggie 11
meanwhile 1
men 1
michael 1
mother 3
mourning 1
nature 1
nearby 1
nearing 1
obstacles 1
of 6
old 3
on 5
only 1
order 1
other 1
out 1
over 1
own 2
pace 1
parttime 1
path 1
paths 1
pennsylvania 1
perpetually 1
poetry 1
position 1
previously 2
princeton 3
process 1
raised 1
reading 2
realizing 1
reconcile 1
related 1
resents 3
rose 12
runs 2
school 2
see 1
sets 1
share 1
she 11
shelter 1
shoe 1
simon 1
since 1
single 1
sister 1
sisters 1
size 1
something 1
standardized 1
stay 1
stein 1
step 1
stepmother 1
stolen 1
string 1
struggles 1
student 1
success 3
successful 1
surprised 1
sydelle 1
terms 1
testing 1
that 2
the 12
their 5
them 2
there 1
they 3
thirtyyear 1
through 1
time 1
to 15
track 1
travels 1
tried 1
twentyeight 1
two 1
unable 1
university 3
until 1
up 1
uses 1
vacuum 1
via 1
visited 1
wallet 1
was 1
watching 1
way 1
wealth 1
wearing 1
weight 1
welcome 1
were 2
what 1
when 3
which 2
while 1
who 6
whose 2
with 6
woman 1
would 1
year 1
young 2
younger 1
