23023205
/m/064qhsn
/m/064qhsn
Astrid Lindgren

{"/m/0dwly": "Children's literature"}
a 7
adds 1
admire 1
and 7
annika 2
as 1
at 3
attempts 1
attends 2
average 1
befriended 1
behaviour 1
big 1
book 1
by 2
captain 1
childhood 1
circus 1
coffee 1
common 1
company 1
countless 1
courtesy 1
eccentricities 1
enjoy 1
enroll 1
entire 1
experiences 1
father 1
filled 1
focuses 1
gifted 1
gold 1
has 1
having 1
her 5
horse 1
hosted 1
house 1
humour 1
in 1
into 1
is 1
knowledge 1
known 1
life 1
limited 1
little 1
local 1
located 1
longstocking 1
monkey 1
moves 1
mr 1
mrs 1
named 1
nilsson 1
nineyearold 1
of 3
on 1
other 1
party 1
pet 2
pieces 1
pigtailed 1
pippi 3
redhead 1
school 1
sea 3
seemingly 1
settergren 2
she 2
siblings 1
so 1
soon 1
spent 1
story 1
strength 1
suitcase 1
superhuman 1
swedish 1
the 3
to 2
tommy 2
two 1
unnamed 1
vanished 1
villa 1
village 1
villekulla 1
when 1
who 1
whose 1
with 3
